"Year","East Creek","Weaver Channel","Weaver Creek","EFS"
1950,50,NA,15630,15680
1951,6,NA,7696,7702
1952,NA,NA,13175,13175
1953,0,NA,5142,5142
1954,NA,NA,13754,13754
1955,0,NA,13037,13037
1956,NA,NA,5898,5898
1957,NA,NA,11111,11111
1958,NA,NA,21770,21770
1959,NA,NA,5023,5023
1960,NA,NA,4059,4059
1961,NA,NA,2336,2336
1962,NA,NA,9403,9403
1963,NA,NA,8848,8848
1964,NA,NA,663,663
1965,NA,2871,4455,7326
1966,NA,3280,6580,9860
1967,NA,1448,9170,10618
1968,NA,727,1475,2202
1969,NA,9347,21257,30604
1970,NA,2318,2685,5003
1971,NA,1505,1151,2656
1972,NA,6336,8690,15026
1973,NA,10646,14239,24885
1974,NA,13239,14860,28099
1975,NA,9781,6252,16033
1976,NA,15565,12678,28243
1977,NA,17882,10628,28510
1978,NA,17176,25139,42315
1979,NA,11201,14501,25702
1980,NA,23481,19805,43286
1981,NA,10113,12514,22627
1982,NA,29111,85919,115030
1983,NA,11805,15575,27380
1984,NA,24149,6285,30434
1985,NA,11508,11265,22773
1986,NA,20821,21016,41837
1987,NA,18447,11658,30105
1988,NA,13447,13981,27428
1989,NA,7356,3009,10365
1990,NA,6029,2496,8525
1991,NA,15324,3163,18487
1992,NA,16755,11725,28480
1993,NA,16472,17546,34018
1994,NA,17124,13084,30208
1995,NA,8078,2826,10904
1996,NA,16486,10362,26848
1997,NA,9637,1087,10724
1998,NA,16409,13402,29811
1999,NA,10863,2243,13106
2000,NA,2221,511,2732
2001,NA,7898,137,8035
2002,NA,18105,18164,36269
2003,NA,19002,5681,24683
2004,NA,13575,393,13968
2005,NA,17648,5949,23597
2006,NA,13245,373,13618
2007,NA,12251,3574,15825
2008,NA,571,46,617
2009,NA,11254,1617,12871
2010,NA,16442,8886,25328
2011,NA,17349,7186,24535
2012,NA,280,117,397
2013,NA,13901,1634,15535
2014,NA,10010,436,10446
2015,NA,861,272,1133
2016,NA,88,6,94
2017,NA,11356,3026,14382
2018,NA,7780,767,8547
2019,NA,975,40,1015
2020,NA,22,16,38
2021,NA,23647,12627,36274
