"Year","East Creek","Steelhead Creek","Weaver Channel","Weaver Creek","ETS"
1950,99.36,NA,NA,28401.27,28500.63
1951,10.9296,NA,NA,12213.2,12224.1296
1952,NA,NA,NA,23904.21,23904.21
1953,0,NA,NA,8700.2311,8700.2311
1954,NA,NA,NA,27968.178,27968.178
1955,0,NA,NA,21095.1,21095.1
1956,NA,NA,NA,8443.305,8443.305
1957,NA,NA,NA,19733.0987,19733.0987
1958,NA,NA,NA,35870.7159,35870.7159
1959,NA,NA,NA,8279.37,8279.37
1960,NA,NA,NA,6646.185,6646.185
1961,NA,NA,NA,4148.342,4148.342
1962,NA,NA,NA,15815.7168,15815.7168
1963,NA,NA,NA,14266.434,14266.434
1964,NA,NA,NA,1166.1,1166.1
1965,NA,NA,4233.4845,12763.824,16997.3085
1966,NA,NA,5871.582,13092.8,18964.382
1967,NA,NA,2540.568,17511.36,20051.928
1968,NA,NA,1290.8016,2311.9235,3602.7251
1969,NA,NA,16441.1315,39759.5196,56200.6511
1970,NA,NA,3982.1381,6001.7208,9983.8589
1971,NA,NA,2482.92,2429.878,4912.798
1972,NA,NA,10490.0625,14931.644,25421.7065
1973,NA,NA,20823.041,26145.495,46968.536
1974,NA,NA,21173.68,27061.632,48235.312
1975,NA,NA,17526.0964,10242.7786,27768.875
1976,NA,NA,25806.1762,22177.9628,47984.139
1977,NA,NA,29577.7824,17742.1945,47319.9769
1978,NA,NA,31305.12,42634.7901,73939.9101
1979,NA,NA,20196.339,23883.2556,44079.5946
1980,NA,NA,40198.8092,31583.4224,71782.2316
1981,NA,NA,18475.448,22201.8258,40677.2738
1982,NA,NA,54304.182,192716.4928,247020.6748
1983,NA,NA,18254.7498,19713.4497,37968.1995
1984,NA,NA,43713.7082,13703.357,57417.0652
1985,NA,NA,19651.821,16002.0672,35653.8882
1986,NA,NA,38346.7464,53440.6136,91787.36
1987,NA,NA,31957.2864,24482.8768,56440.1632
1988,NA,NA,23803.8291,23775.9192,47579.7483
1989,NA,NA,12022.4916,4753.1008,16775.5924
1990,NA,12,10170.4068,5969,16151.4068
1991,NA,2.9568,27517.2816,10148.463,37668.7014
1992,NA,NA,33208.2945,21294.8469,54503.1414
1993,NA,NA,47366.0292,31234.2645,78600.2937
1994,NA,NA,43977.3054,19756.779,63734.0844
1995,NA,NA,14078.0376,7208.4252,21286.4628
1996,NA,NA,27868.6134,18542.3448,46410.9582
1997,NA,NA,18768.5589,2165.2875,20933.8464
1998,NA,NA,27512.7944,25318.872,52831.6664
1999,NA,NA,17906.7834,5180.864,23087.6474
2000,NA,NA,4112.1024,946.1813,5058.2837
2001,NA,NA,12767.517,322.944,13090.461
2002,NA,NA,30846.6928,43948.2702,74794.963
2003,NA,NA,30621.464,13071.834,43693.298
2004,NA,NA,23488.32,889.4736,24377.7936
2005,NA,NA,30193.6752,12049.4088,42243.084
2006,NA,NA,23071.5234,1004.6414,24076.1648
2007,NA,NA,22168.0689,8359.4749,30527.5438
2008,NA,NA,1074.8316,85.7395,1160.5711
2009,NA,NA,22295.8422,3730.5198,26026.362
2010,NA,NA,30145.8976,15989.5597,46135.4573
2011,NA,NA,34309.9489,17280.727,51590.6759
2012,NA,NA,509.3397,209.6565,718.9962
2013,NA,NA,24883.5222,4836.7228,29720.245
2014,NA,NA,19930.3198,991.8258,20922.1456
2015,NA,NA,1394.7252,547.485,1942.2102
2016,NA,NA,213.0016,12.336,225.3376
2017,NA,NA,22731.9869,6123.3668,28855.3537
2018,NA,NA,13398.344,1304.186,14702.53
2019,NA,NA,1672.864,92,1764.864
2020,NA,NA,36.0349,28.3679,64.4028
2021,NA,NA,41067.1944,30965.8749,72033.0693
