"Year","Raft River","EFS"
1950,1917,1917
1951,3364,3364
1952,5116,5116
1953,3600,3600
1954,5352,5352
1955,2905,2905
1956,5179,5179
1957,3314,3314
1958,6235,6235
1959,5232,5232
1960,2252,2252
1961,3014,3014
1962,4197,4197
1963,2693,2693
1964,2666,2666
1965,2669,2669
1966,2666,2666
1967,358,358
1968,3455,3455
1969,2577,2577
1970,1205,1205
1971,223,223
1972,4507,4507
1973,1345,1345
1974,1479,1479
1975,1391,1391
1976,3976,3976
1977,198,198
1978,1343,1343
1979,693,693
1980,2056,2056
1981,312,312
1982,1533,1533
1983,1821,1821
1984,6701,6701
1985,1922,1922
1986,1080,1080
1987,723,723
1988,9207,9207
1989,925,925
1990,412,412
1991,264,264
1992,4112,4112
1993,2934,2934
1994,800,800
1995,682,682
1996,21381,21381
1997,2367,2367
1998,3585,3585
1999,3499,3499
2000,27668,27668
2001,16025,16025
2002,8402,8402
2003,4890,4890
2004,3244,3244
2005,16967,16967
2006,3442,3442
2007,8064,8064
2008,3562,3562
2009,6039,6039
2010,2389,2389
2011,4430,4430
2012,1710,1710
2013,9045,9045
2014,9471,9471
2015,8794,8794
2016,3753,3753
2017,2269,2269
2018,1756,1756
2019,362,362
2020,2722,2722
2021,1555,1555
2022,1781,1781
