"","Year","Nahatlatch Lake","Nahatlatch River"
"1",1950,0,0
"2",1951,0,0
"3",1952,0,0
"4",1953,NA,NA
"5",1954,NA,NA
"6",1955,NA,NA
"7",1956,NA,NA
"8",1957,0,0
"9",1958,0,0
"10",1959,0,0
"11",1960,0,0
"12",1961,0,0
"13",1962,0,0
"14",1963,0,0
"15",1964,0,0
"16",1965,0,0
"17",1966,0,0
"18",1967,0,0
"19",1968,0,0
"20",1969,0,0
"21",1970,0,0
"22",1971,0,0
"23",1972,0,0
"24",1973,0,0
"25",1974,0,0
"26",1975,463.526457854509,1566
"27",1976,0,1063
"28",1977,95,214
"29",1978,0,354
"30",1979,311.977577636432,1054
"31",1980,68,593
"32",1981,137,252
"33",1982,340,1027
"34",1983,376,854
"35",1984,279,437
"36",1985,321,308
"37",1986,2944,1456
"38",1987,2271,4148
"39",1988,3072,6423
"40",1989,268,1990
"41",1990,1408,2672
"42",1991,1375,3
"43",1992,316,1971
"44",1993,100,1122
"45",1994,603,3083
"46",1995,157,796
"47",1996,1436,5292
"48",1997,490,4048
"49",1998,320,2865
"50",1999,177,1227
"51",2000,170,2035
"52",2001,85,2347
"53",2002,298,3161
"54",2003,397,1563
"55",2004,63,521
"56",2005,217,1073
"57",2006,50,889
"58",2007,204,1817
"59",2008,42,109
"60",2009,172,568
"61",2010,195,2699
"62",2011,839,2616
"63",2012,592,548
"64",2013,344,456
"65",2014,533,1526
"66",2015,102,1253
"67",2016,388,420
"68",2017,170,1188
"69",2018,47,940
"70",2019,32,612
"71",2020,51,1335
"72",2021,63,2990
"73",2022,544,1972
