"Year","Barriere River, upper","Harper Creek","ETS"
1950,0,NA,0
1951,0,NA,0
1952,0,NA,0
1953,0,NA,0
1954,0,NA,0
1955,0,NA,0
1956,0,NA,0
1957,0,NA,0
1958,5,NA,5
1959,27,NA,27
1960,0,NA,0
1961,0,NA,0
1962,0,NA,0
1963,371.036,NA,371.036
1964,133.152,NA,133.152
1965,0,NA,0
1966,0,NA,0
1967,587.156,NA,587.156
1968,759.2886,NA,759.2886
1969,43.8776,NA,43.8776
1970,9,NA,9
1971,601.245,NA,601.245
1972,1810.1194,NA,1810.1194
1973,124.2984,NA,124.2984
1974,140,NA,140
1975,3396.6405,NA,3396.6405
1976,3916.993,NA,3916.993
1977,316.9795,NA,316.9795
1978,91.0463,NA,91.0463
1979,14652.5643,NA,14652.5643
1980,7723.2298,NA,7723.2298
1981,1770.6204,NA,1770.6204
1982,1132,NA,1132
1983,4761.9936,NA,4761.9936
1984,9745.8703,NA,9745.8703
1985,1407.1988,NA,1407.1988
1986,5888.46,NA,5888.46
1987,16282.0437,NA,16282.0437
1988,22284.7852,175,22459.7852
1989,3946.5248,0,3946.5248
1990,11338.8858,NA,11338.8858
1991,20396.4156,87.7008,20484.1164
1992,8987.2926,214.3812,9201.6738
1993,7475.8222,155.5399,7631.3621
1994,5861.5857,10.8933,5872.479
1995,10861.5455,3.8636,10865.4091
1996,27627.5961,388.08,28015.6761
1997,8327.7,101.783,8429.483
1998,8143.9897,9,8152.9897
1999,5531.2173,12.6217,5543.839
2000,9285.732,310,9595.732
2001,5576.2587,71.6128,5647.8715
2002,7056.1994,130.3799,7186.5793
2003,9054.2868,126.2054,9180.4922
2004,2698.1586,44.7525,2742.9111
2005,4198.9,83.58,4282.48
2006,10904.6653,339.9975,11244.6628
2007,10991.1236,191,11182.1236
2008,430.392,0,430.392
2009,1142.622,0,1142.622
2010,9301.2342,121.1802,9422.4144
2011,8317.386,87.516,8404.902
2012,1365.532,4.8769,1370.4089
2013,3218.838,10.2333,3229.0713
2014,10953.1731,242.4696,11195.6427
2015,1338.5434,52.9146,1391.458
2016,1001.664,0,1001.664
2017,593.5488,40.9016,634.4504
2018,2266.6912,13.1348,2279.826
2019,511,13,524
