"Year","Blue Creek","Corbold Creek","Cypress Creek","Fish Hatchery Creek","North Boise Creek","Slough Creek","South Boise Creek","Upper Pitt Channel","Upper Pitt River","EFS"
1950,NA,NA,NA,NA,NA,NA,NA,NA,13313,13313
1951,NA,NA,NA,NA,NA,NA,NA,NA,17922,17922
1952,NA,NA,NA,NA,NA,NA,NA,NA,21904,21904
1953,NA,NA,NA,NA,NA,NA,NA,NA,9303,9303
1954,NA,NA,NA,NA,NA,NA,NA,NA,8332,8332
1955,NA,NA,NA,NA,NA,NA,NA,NA,11221,11221
1956,NA,NA,NA,NA,NA,NA,NA,NA,11107,11107
1957,NA,NA,NA,NA,NA,NA,NA,NA,5130,5130
1958,NA,NA,NA,NA,NA,NA,NA,NA,6658,6658
1959,NA,NA,NA,NA,NA,NA,NA,NA,6096,6096
1960,NA,NA,NA,NA,NA,NA,NA,NA,11297,11297
1961,NA,NA,NA,NA,NA,NA,NA,NA,5324,5324
1962,NA,NA,NA,NA,NA,NA,NA,NA,8017,8017
1963,NA,NA,NA,NA,NA,NA,NA,NA,4739,4739
1964,NA,NA,NA,NA,NA,NA,NA,NA,5202,5202
1965,NA,NA,NA,NA,NA,NA,NA,NA,2596,2596
1966,NA,NA,NA,NA,NA,NA,NA,NA,9537,9537
1967,NA,NA,NA,NA,NA,NA,NA,NA,3756,3756
1968,NA,NA,NA,NA,NA,NA,NA,NA,7209,7209
1969,NA,NA,NA,NA,NA,NA,NA,NA,10356,10356
1970,NA,NA,NA,NA,NA,NA,NA,NA,2504,2504
1971,NA,NA,NA,NA,NA,NA,NA,NA,5924,5924
1972,NA,NA,NA,NA,NA,NA,NA,NA,5433,5433
1973,NA,NA,NA,NA,NA,NA,NA,NA,4146,4146
1974,NA,NA,NA,NA,NA,NA,NA,NA,7826,7826
1975,NA,NA,NA,NA,NA,NA,NA,NA,19589,19589
1976,NA,NA,NA,NA,NA,NA,NA,NA,18213,18213
1977,NA,NA,NA,NA,NA,NA,NA,NA,6492,6492
1978,NA,NA,NA,NA,NA,NA,NA,NA,11080,11080
1979,NA,NA,NA,NA,NA,NA,NA,NA,18574,18574
1980,NA,NA,NA,NA,NA,NA,NA,NA,7205,7205
1981,NA,NA,NA,NA,NA,NA,NA,NA,11878,11878
1982,NA,NA,NA,NA,NA,NA,NA,NA,4296,4296
1983,NA,NA,NA,NA,NA,NA,NA,NA,8624,8624
1984,NA,NA,NA,NA,NA,NA,NA,NA,7789,7789
1985,NA,NA,NA,NA,NA,NA,NA,NA,2107,2107
1986,NA,NA,NA,NA,NA,NA,NA,NA,12284,12284
1987,NA,NA,NA,NA,NA,NA,NA,NA,5003,5003
1988,NA,NA,NA,NA,NA,NA,NA,NA,16548,16548
1989,NA,NA,NA,NA,NA,NA,NA,NA,5583,5583
1990,NA,NA,NA,NA,NA,NA,NA,NA,5701,5701
1991,NA,NA,NA,NA,NA,NA,NA,NA,10867,10867
1992,NA,NA,NA,NA,NA,NA,NA,NA,2814,2814
1993,NA,NA,NA,NA,NA,NA,NA,NA,9039,9039
1994,NA,NA,NA,NA,NA,NA,NA,NA,4363,4363
1995,NA,NA,NA,NA,NA,NA,NA,NA,2352,2352
1996,NA,NA,NA,NA,NA,NA,NA,NA,19451,19451
1997,NA,NA,NA,NA,NA,NA,NA,NA,14996,14996
1998,NA,NA,NA,NA,NA,NA,NA,NA,47612,47612
1999,NA,NA,NA,NA,NA,NA,NA,NA,19391,19391
2000,NA,NA,NA,NA,NA,NA,NA,NA,16155,16155
2001,NA,NA,NA,NA,NA,NA,NA,NA,72405,72405
2002,NA,NA,NA,NA,NA,NA,NA,NA,38099,38099
2003,NA,NA,NA,NA,NA,NA,NA,NA,39926,39926
2004,NA,NA,NA,NA,NA,NA,NA,NA,32683,32683
2005,NA,NA,NA,NA,NA,NA,NA,NA,32549,32549
2006,NA,NA,NA,NA,NA,NA,NA,NA,20220,20220
2007,NA,NA,NA,NA,NA,NA,NA,NA,19266,19266
2008,NA,NA,NA,NA,NA,NA,NA,NA,5394,5394
2009,NA,NA,NA,NA,NA,NA,NA,NA,18119,18119
2010,NA,5657,NA,NA,0,NA,540,139,1684,8020
2011,NA,7476,NA,717,0,44,264,433,20864,29798
2012,NA,5391,NA,500,41,69,407,1219,32716,40343
2013,NA,6614,NA,247,704,343,2197,3913,15599,29617
2014,NA,6460,NA,17,24,117,183,1078,5963,13842
2015,NA,7435,NA,132,750,193,1782,992,6453,17737
2016,NA,10898,NA,82,549,39,309,845,17556,30278
2017,NA,3848,NA,14,1,135,1578,422,12875,18873
2018,NA,1733,NA,7,0,6,221,99,4885,6951
2019,NA,1140,NA,17,0,0,22,209,499,1887
2020,NA,1081,NA,25,116,0,48,106,1719,3095
2021,NA,1470,NA,15,215,NA,405,731,5938,8774
2022,NA,3919,NA,5,48,NA,214,1738,9152,15076
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
