"","Year","cyc","Horse","McKin","Mitchell","Little","Lake"
"1",1950,1,257,0,0,7,NA
"2",1951,2,9,0,0,0,NA
"3",1952,3,51,0,0,0,NA
"4",1953,4,45184,1346,1034,0,NA
"5",1954,1,133,0,9,4,NA
"6",1955,2,30,0,0,0,NA
"7",1956,3,35,1,0,3,NA
"8",1957,4,127218,4009,1602,23,NA
"9",1958,1,1229,0,33,7,NA
"10",1959,2,24,0,0,5,NA
"11",1960,3,117,0,0,6,0
"12",1961,4,64200,3839,1907,4,NA
"13",1962,1,526,0,2,38,NA
"14",1963,2,40,0,0,0,NA
"15",1964,3,77,0,0,82,NA
"16",1965,4,103661,0,1681,0,NA
"17",1966,1,973,0,65,2,NA
"18",1967,2,24,0,0,0,NA
"19",1968,3,328,129.061611374408,2,3,NA
"20",1969,4,68204,5688,2662,11,NA
"21",1970,1,373,0,15,0,NA
"22",1971,2,16,0,0,0,NA
"23",1972,3,34,10,2,0,NA
"24",1973,4,94471,6763,11178,2,NA
"25",1974,1,2587,0,0,0,NA
"26",1975,2,53,52,0,0,NA
"27",1976,3,32,173,4,0,NA
"28",1977,4,138641,8735,13088,33,NA
"29",1978,1,3675,46,628,0,NA
"30",1979,2,238,0,NA,NA,NA
"31",1980,3,82,16,0,0,NA
"32",1981,4,287094,6284,36154,1,50
"33",1982,1,15177,2959,1899,0,NA
"34",1983,2,1018,20,60,0,NA
"35",1984,3,509,30,12,0,NA
"36",1985,4,525523,54257,100058,8929,3094
"37",1986,1,75975,2564,16110,0,0
"38",1987,2,8964,37,2237,0,NA
"39",1988,3,3413,91,662,15,4
"40",1989,4,743573,63646,119435,10360.2458289065,4832
"41",1990,1,228534,6391,21898,2023.86747563585,139
"42",1991,2,21016,207.148187763119,3845,81.0991306135189,NA
"43",1992,3,3046,35.0135166358595,1156.16583347337,13.7078957318098,NA
"44",1993,4,1004602,83875,382294,14280,3999
"45",1994,1,274090,14955,63580,101,538
"46",1995,2,97609,267,18991,0,NA
"47",1996,3,17816,5,3896,2,NA
"48",1997,4,489410,81491,265366,13248,35919
"49",1998,1,333620,28430,158261,2366,4750
"50",1999,2,75163,580,29584,256,517
"51",2000,3,20495,272,16090,70,30
"52",2001,4,871423,123548,536589,5169,135140
"53",2002,1,1078497.69893103,53238.4864914185,438135,12364.5701072811,NA
"54",2003,2,91089,1937,51535,339,1507
"55",2004,3,2604,81,3534,235,80
"56",2005,4,324209,81513,365896.83806269,19843,28128
"57",2006,1,66964,1619,12086,2243,4702
"58",2007,2,26239,564,4496,315,1390
"59",2008,3,1856,27,545,0,31
"60",2009,4,33891,7491,26334,3694,8505
"61",2010,1,75725,760,42509,1823,6830
"62",2011,2,11863,27,4378,107,315
"63",2012,3,86,0,9,0,0
"64",2013,4,36249,8887,36466,1274,8838
"65",2014,1,229748,5959,155636,1680,26752
"66",2015,2,17063,145,6212,257,1411
"67",2016,3,119,0,63,5,15
"68",2017,4,37072,3619,12085,858,4825
"69",2018,1,227256,6087,72917,1151,16952
"70",2019,2,9459,436,2958,101,1131
"71",2020,3,439,0,36,27,3
"72",2021,4,26887,975,13850,5518,5818
"73",2022,1,254396,15536,103615,8266,18540
"74",2023,2,NA,NA,NA,NA,NA
