"Year","Portage Creek","EFS"
1950,0,0
1951,15,15
1952,0,0
1953,24,24
1954,1729,1729
1955,20,20
1956,0,0
1957,20,20
1958,2749,2749
1959,286,286
1960,0,0
1961,12,12
1962,6326,6326
1963,1116,1116
1964,5,5
1965,589,589
1966,15201,15201
1967,1983,1983
1968,50,50
1969,491,491
1970,2139,2139
1971,155,155
1972,98,98
1973,1688,1688
1974,4843,4843
1975,1631,1631
1976,753,753
1977,3923,3923
1978,3963,3963
1979,2023,2023
1980,996,996
1981,2951,2951
1982,11734,11734
1983,4909,4909
1984,941,941
1985,960,960
1986,6213,6213
1987,3766,3766
1988,784,784
1989,5067,5067
1990,8415,8415
1991,7292,7292
1992,1378,1378
1993,9829,9829
1994,3890,3890
1995,4319,4319
1996,1759,1759
1997,5056,5056
1998,11873,11873
1999,2079,2079
2000,671,671
2001,1851,1851
2002,8001,8001
2003,3179,3179
2004,778,778
2005,8261,8261
2006,10971,10971
2007,849,849
2008,63,63
2009,792,792
2010,26687,26687
2011,330,330
2012,13,13
2013,4181,4181
2014,12327,12327
2015,17,17
2016,21,21
2017,441,441
2018,22395,22395
2019,260,260
2020,10,10
2021,1939,1939
2022,10585,10585
2023,NA,NA
