"Year","Portage Creek","ETS"
1950,0,0
1951,28.1416,28.1416
1952,0,0
1953,48.52,48.52
1954,3214.026,3214.026
1955,39.7864,39.7864
1956,0,0
1957,40,40
1958,4752.1929,4752.1929
1959,572,572
1960,0,0
1961,23,23
1962,11753.588,11753.588
1963,1951.4744,1951.4744
1964,8.7336,8.7336
1965,981,981
1966,29703.7611,29703.7611
1967,3856.755,3856.755
1968,83.4544,83.4544
1969,945.5697,945.5697
1970,3828.4605,3828.4605
1971,281,281
1972,190,190
1973,2834.3376,2834.3376
1974,8263.9725,8263.9725
1975,3081.02,3081.02
1976,1010.74,1010.74
1977,7304.078,7304.078
1978,9449.166,9449.166
1979,3552.835,3552.835
1980,1761.48,1761.48
1981,5764.833,5764.833
1982,23148.6033,23148.6033
1983,7685.024,7685.024
1984,1702.305,1702.305
1985,1679.574,1679.574
1986,13805.106,13805.106
1987,6728.612,6728.612
1988,1050,1050
1989,7814.68,7814.68
1990,18029.7888,18029.7888
1991,11885.4633,11885.4633
1992,2704.3764,2704.3764
1993,19760,19760
1994,9014.148,9014.148
1995,7289.8875,7289.8875
1996,2968.2428,2968.2428
1997,8799.166,8799.166
1998,22786.995,22786.995
1999,4150.5264,4150.5264
2000,1182.9618,1182.9618
2001,2845.395,2845.395
2002,14870.7585,14870.7585
2003,4775.004,4775.004
2004,1287,1287
2005,11991.385,11991.385
2006,17720.757,17720.757
2007,1699,1699
2008,82.0814,82.0814
2009,1544.4603,1544.4603
2010,47722.125,47722.125
2011,879.503,879.503
2012,25,25
2013,6952.5903,6952.5903
2014,21581.6057,21581.6057
2015,34.416,34.416
2016,41,41
2017,1032.7958,1032.7958
2018,35459.13,35459.13
2019,520,520
2020,20,20
2021,2865.0588,2865.0588
2022,18196.1869,18196.1869
2023,NA,NA
