"Year","McNomee Creek","Scotch Creek","Seymour River","EFS"
1950,NA,19,4697,4716
1951,0,0,11504,11504
1952,NA,10,2780,2790
1953,NA,780,2907,3687
1954,NA,0,12463,12463
1955,NA,0,5178,5178
1956,NA,8,1102,1110
1957,NA,1213,7106,8319
1958,NA,0,44285,44285
1959,NA,0,25473,25473
1960,NA,0,1862,1862
1961,NA,295,1957,2252
1962,NA,1,27411,27412
1963,NA,0,26742,26742
1964,NA,0,1321,1321
1965,NA,777,2550,3327
1966,NA,236,12943,13179
1967,NA,0,7264,7264
1968,NA,0,2064,2064
1969,NA,1317,3276,4593
1970,NA,142,3603,3745
1971,NA,0,9463,9463
1972,NA,0,1418,1418
1973,NA,2966,1150,4116
1974,NA,275,25096,25371
1975,NA,0,15756,15756
1976,NA,20,4898,4918
1977,NA,6702,2883,9585
1978,NA,1091,30757,31848
1979,NA,0,24866,24866
1980,NA,62,4616,4678
1981,NA,6887,5354,12241
1982,NA,2544,27219,29763
1983,NA,133,14014,14147
1984,NA,265,9148,9413
1985,NA,1436,2684,4120
1986,NA,11299,57017,68316
1987,NA,1148,41080,42228
1988,NA,723,7989,8712
1989,NA,3928,2864,6792
1990,NA,34411,108234,142645
1991,NA,NA,60797,60797
1992,NA,1385,3586,4971
1993,2,3259,4948,8209
1994,2369,26711,16783,45863
1995,3810,7810,20091,31711
1996,250,2205,9340,11795
1997,12,1415,824,2251
1998,310,17001,14238,31549
1999,2779,2034,7293,12106
2000,430,1732,11430,13592
2001,312,1336,3431,5079
2002,1029,50375,54436,105840
2003,205,2477,18278,20960
2004,0,432,762,1194
2005,48,2686,2278,5012
2006,470,72735,57313,130518
2007,41,4758,5864,10663
2008,26,139,285,450
2009,16,2665,3077,5758
2010,7996,273905,279500,561401
2011,98,12451,7896,20445
2012,0,644,264,908
2013,72,10957,13811,24840
2014,9443,68761,47971,126175
2015,241,3535,3719,7495
2016,0,465,181,646
2017,2,2356,1675,4033
2018,9841,29348,52420,91609
2019,71,992,611,1674
2020,0,592,387,979
2021,41,7543,4730,12314
2022,1732,22900,11808,36440
2023,NA,NA,NA,NA
