"","Year","cyc","Adams River, lower","Anstey River","Eagle River","Little River","Lower Shuswap River","Middle Shuswap River","Momich River","Scotch Creek","Sinmax Creek","South Thompson River"
"1",1950,1,489118,25,222,61814,7754,25,67,3334,44,18002
"2",1951,2,77480,0,0,4390,0,0,0,0,0,224
"3",1952,3,3670,0,0,461,0,0,0,0,0,80
"4",1953,4,1263,0,0,281,0,0,0,0,0,79
"5",1954,1,898053,106,0,117442,10948,38,412,3961,451,32622
"6",1955,2,41917,0,0,2705,12,0,0,0,0,0
"7",1956,3,1516,0,0,587,0,0,0,0,0,0
"8",1957,4,1168,0,0,183,1,0,0,11,7,278
"9",1958,1,778347,434,472,257047,5389,286,166,5273,181,74871
"10",1959,2,74916,0,0,13857,187,0,0,0,0,310
"11",1960,3,1279,0,0,43,0,0,0,0,0,0
"12",1961,4,761,0,0,75,15,0,0,0,0,3
"13",1962,1,570158,572,5302,30429,17757,263,125,2548,542,7458
"14",1963,2,77832,0,0,1374,1018,0,0,0,0,22
"15",1964,3,345,0,0,0,0,0,0,0,0,0
"16",1965,4,1027,0,0,98,172,0,0,0,0,35
"17",1966,1,599729,668,4850,27532,13428,936,0,2358,170,1167
"18",1967,2,360928,78,27,33609,2919,29,0,4605,0,129
"19",1968,3,2705,0,0,0,0,0,0,8,0,0
"20",1969,4,2182,0,6,430,518,0,0,0,4,26
"21",1970,1,641143,195,4477,100706,14593,2310,191,1480,293,4838
"22",1971,2,153360,0,160,1457,3701,142,0,157,1,5
"23",1972,3,2096,0,0,39,20,0,0,0,0,0
"24",1973,4,436,0,0,58,1966,0,0,0,0,7
"25",1974,1,459178,532,2082,77550,49496,1756,0,2180,86,9165
"26",1975,2,75119,0,237,3749,6006,118,0,83,1,8
"27",1976,3,2950,NA,NA,103,19,0,NA,0,NA,0
"28",1977,4,2235,NA,NA,221,3555,NA,NA,0,NA,16
"29",1978,1,799685,240,4355,49692,89898,5921,35,3231,297,6140
"30",1979,2,150570,10,133,4220,5321,315,0,175,2,80
"31",1980,3,1803,NA,1,8,5,0,NA,0,NA,0
"32",1981,4,3679,NA,NA,460,1789,NA,NA,NA,12,10
"33",1982,1,1056165,513,17902,119227,262578,20489,59,2537,1426,46432
"34",1983,2,94814,0,226,0,4299,16,0,20,2,0
"35",1984,3,2319,NA,9,27,42,NA,NA,NA,NA,6
"36",1985,4,211,NA,13,19,467,103,NA,NA,NA,0
"37",1986,1,612894,1646,12170,106963,261606,28822,146,1826,271,18708
"38",1987,2,292967,229,764,9346,4693,357,0,166,7,9
"39",1988,3,3305,NA,2,150,97,NA,NA,NA,NA,2
"40",1989,4,54,0,0,1,325,0,NA,0,1,0
"41",1990,1,1012256,2312,25883,175804,404156,51574,225,12588,883,16057
"42",1991,2,590619,361,1284,5515,7932,286,12,4681,14,32
"43",1992,3,6238,0,24,43,157,90,NA,10,0,NA
"44",1993,4,288,0,14,8,422,0,0,5,0,14
"45",1994,1,318208,897,12742,101651,186319,15319,35,1654,202,14893
"46",1995,2,196491,45,418,2984,6419,81,1,768,25,114
"47",1996,3,5091,0,13,104,209,26,0,15,0,3
"48",1997,4,546,0,0,5,46,0,0,0,0,0
"49",1998,1,439185,226,5586,74278,142013,8631,40,1508,555,1071
"50",1999,2,130796,12,225,3368,3350,137,2,142,1,3
"51",2000,3,142,NA,2,5,11,0,0,0,0,NA
"52",2001,4,1788,0,2,249,21,0,0,11,0,0
"53",2002,1,1985682,2357,26431,354638,335700,50906,335,10012,767,3039
"54",2003,2,178695,0,203,6724,2537,56,2,182,1,4
"55",2004,3,1981,NA,2,142,104,0,0,0,0,NA
"56",2005,4,6899,0,45,4425,206,0,1,3,1,20
"57",2006,1,611953,782,25814,139118,338642,36820,22,1781,1256,538
"58",2007,2,28287,0,63,701,2619,171,0,173,1,0
"59",2008,3,75,0,1,1,6,0,0,0,0,0
"60",2009,4,9928,11,61,9259,338,19,NA,7,0,108
"61",2010,1,1615313,1663,132320,197138,941358,134836,15,8674,2452,610
"62",2011,2,39476,8,836,1054,4251,253,0,77,6,0
"63",2012,3,0,NA,0,1,5,0,NA,0,NA,NA
"64",2013,4,65968,25,335,17845,1288,19,NA,368,41,334
"65",2014,1,370819,1497,103461,129280,339907,74151,79,2247,4529,587
"66",2015,2,1998,4,325,84,644,74,0,42,0,0
"67",2016,3,18,NA,2,1,4,0,NA,0,NA,0
"68",2017,4,8284,0,11,112,29,1,NA,6,0,0
"69",2018,1,259855,1116,106947,83304,239634,88944,35,928,2613,291
"70",2019,2,1312,0,245,224,1287,197,0,16,27,0
"71",2020,3,11,NA,0,1,0,NA,NA,NA,NA,NA
"72",2021,4,18872,0,40,634,9,7,0,3,15,0
"73",2022,1,183331,458,22502,69568,86474,5848,6,770,1137,3231
"74",2023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
