"Year","EFS"
1950,580405
1951,84622.242081816
1952,4211
1953,1623
1954,1064033
1955,44949.7496126389
1956,2103
1957,1648
1958,1122466
1959,89888.6143563614
1960,1322
1961,854
1962,635154
1963,80802.0807397847
1964,345
1965,1332
1966,650901.349981261
1967,402347.927550876
1968,2713
1969,3166
1970,770226
1971,159047.242933929
1972,2155
1973,2467
1974,602025
1975,85321.8540519948
1976,3072
1977,6027
1978,959494
1979,160826
1980,1817
1981,5950
1982,1527328
1983,99417.1569353019
1984,2403
1985,813
1986,1045052
1987,308538
1988,3556
1989,381
1990,1701738
1991,610736
1992,6562
1993,751
1994,651920
1995,207346
1996,5461
1997,597
1998,673093
1999,138036
2000,160
2001,2071
2002,2769867
2003,188404
2004,2229
2005,11600
2006,1156726
2007,32015
2008,83
2009,19731
2010,3034379
2011,45961
2012,6
2013,86223
2014,1026557
2015,3171
2016,25
2017,8443
2018,783667
2019,3308
2020,12
2021,19580
2022,373325
