"Year","Adams Channel","Adams Lake","Adams Lake - misc. east side shore","Adams Lake - misc. north end shore","Adams Lake - misc. south end shore","Adams River - shore","Adams River, lower","Adams River, upper","Anstey River","Anstey River - shore","Bessette Creek","Blurton Creek","Bush Creek","Bush Creek - shore","Canoe Creek","Celista Creek","Cooke Creek","Crazy Creek","Cruikshank Pt. West - shore","Eagle River","Four Mile Creek - shore","Hiuihill Creek","Hlina Creek - shore","Hunakwa Creek","Johnson Creek","Kingfisher Creek","Knight Creek - shore","Lee Creek - shore","Little River","Lower Shuswap River","Mara Lake - shore","McNomee Creek","Middle Shuswap River","Momich River","Momich River - shore","Nikwikwaia Creek","Noisy Creek","Onyx Creek","Onyx Creek - shore","Perry River","Queest Creek - shore","Reinecker Creek","Reinecker Creek - shore","Ross Creek","Ross Creek - shore","Salmon River","Scotch Creek","Scotch Creek - shore","Seymour River","Shuswap L. - Main Arm north side","Shuswap L. - Main Arm south side","Shuswap L. - Salmon Arm east side","Shuswap L. - Salmon Arm north side","Shuswap L. - Salmon Arm south side","Shuswap Lake","Shuswap Lake - Anstey Arm","Shuswap Lake - Main Arm","Shuswap Lake - Salmon Arm","Shuswap Lake - Seymour Arm","Sicamous Creek","Sinmax Creek","Sinmax Creek - shore","South Thompson River","Tappen Creek","Trinity Creek","Tsuius Creek","Tsuius Creek - Shore","Vanishing Creek - shore","Wap Creek","Yard Creek","ETS"
1950,NA,NA,NA,NA,NA,NA,1016740.934,NA,50,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,461.648,NA,NA,NA,0,NA,NA,NA,NA,125010.116,11892,NA,NA,49.55,139.062,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,6931.342,NA,92.708,NA,NA,NA,NA,NA,5452.744,NA,NA,NA,NA,NA,92.708,NA,36405.864,NA,NA,0,NA,NA,0,NA,1203318.676
1951,NA,NA,NA,NA,NA,NA,128528.64,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8616.98,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,420.18,NA,NA,NA,NA,NA,NA,NA,137565.8
1952,NA,NA,NA,NA,NA,NA,5992.9362,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,956.1181,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,141.781,NA,NA,NA,NA,NA,NA,NA,7090.8353
1953,NA,NA,NA,NA,NA,NA,2476.6272,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,524.9168,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,270.4688,NA,NA,NA,NA,NA,NA,NA,3272.0128
1954,NA,NA,NA,NA,NA,NA,1553784.7728,NA,191.4016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,176905.1648,17112.76,NA,NA,59.78,701.2096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7145.3616,NA,83.1792,NA,NA,NA,NA,NA,6055.9824,NA,NA,NA,NA,NA,766.5008,NA,51422.6336,NA,NA,NA,NA,NA,NA,NA,1814228.7464
1955,NA,NA,NA,NA,NA,NA,59175.5571,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,4117,23,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,63315.5571
1956,NA,NA,NA,NA,NA,NA,2288.4225,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,884.793,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3173.2155
1957,NA,NA,NA,NA,NA,NA,1868.3032,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,334.8864,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.1784,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,13.812,NA,351,NA,NA,NA,NA,NA,NA,NA,2596.18
1958,NA,NA,NA,NA,NA,NA,1687941.7404,NA,943.0945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.2331,NA,NA,NA,0,NA,NA,NA,NA,394828.527,9154.3691,NA,NA,486.6954,359.6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8369.188,NA,0,NA,NA,NA,NA,NA,13948.0256,NA,NA,NA,NA,NA,392.8746,NA,115182.5124,NA,NA,NA,NA,NA,NA,NA,2232629.9065
1959,NA,NA,NA,NA,NA,NA,112770.031,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,20995.5988,280.3537,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,469.9167,NA,NA,NA,NA,NA,NA,NA,134515.9002
