"Year","EFS"
1950,26695.161991154
1951,29929.3856572474
1952,15687.8837970479
1953,74127
1954,18008
1955,1394.10442750968
1956,18171.3493228433
1957,111850
1958,21961
1959,1305.63721210437
1960,7375.80541420721
1961,86358.4168774385
1962,14104.5905934227
1963,2590.35782437276
1964,1300.712941556
1965,11172
1966,6083.99126398484
1967,11168.9662618084
1968,792
1969,48042
1970,15685
1971,45133
1972,2253
1973,149756
1974,21493
1975,25580
1976,6757.66577730886
1977,51966
1978,19744
1979,35300
1980,7331
1981,70675
1982,2157
1983,13251.6322683665
1984,22004.6347031134
1985,116680
1986,15137
1987,71858.2966267682
1988,77898
1989,207141.151806769
1990,45419.7472349807
1991,79623
1992,35748.7695908813
1993,379362
1994,14434
1995,54925
1996,37811
1997,68896
1998,9222
1999,7842
2000,30214
2001,76644
2002,12197
2003,6770
2004,4935
2005,48001
2006,15602
2007,2360
2008,14026
2009,21345
2010,36092.6220421525
2011,233
2012,6754
2013,38609
2014,22939
2015,4017
2016,3637
2017,7126
2018,21336
2019,46
