"Year","15 Mile Creek","25 Mile Creek","Ankwill Creek","Baptiste Creek","Bates Creek","Bivouac Creek","Blackwater Creek","Blanchet Creek","Blanchet North Creek","Casamir Creek","Consolidated Creek","Crow Creek","Driftwood River","Dust Creek","Fleming Creek","Forfar Creek","French Creek","Frypan Creek","Gluske Creek","Hooker Creek","Hudson Bay Creek","Kastberg Creek","Kazchek Creek","Kotsine River","Leo Creek","Lion Creek","Lovell Creek","Maclaing Creek","McDougall Creek","Middle River (Rossette Bar)","Narrows Creek","O'Ne-ell Creek","Paula Creek","Point Creek","Porter Creek","Sakeniche River","Sandpoint Creek","Shale Creek","Sidney Creek","Sinta Creek","Takla Lake - shore","Tildesley Creek","Tliti Creek","Tliti Creek (10 Mile)","Van Decar Creek","ETS"
1950,48.8808,468.8936,60.6484,NA,0,2089.2016,NA,0,NA,NA,NA,0,129.4436,1012.9188,0,9651.2553,0,62.4588,9810.36,NA,0,NA,0,NA,86.8992,NA,2,145.7372,0,NA,1678.485,21155.4797,0,38.0184,NA,210.9116,0,565.75,0,0,NA,NA,0,NA,5791.9996,53009.3416
1951,5,5,20.3274,NA,NA,0,NA,0,NA,NA,NA,0,49.4928,0,0,11619.432,0,41.5386,3329.55,NA,0,NA,NA,NA,1,NA,2,0,0,NA,334.9602,28295.064,0,0,NA,0,0,159.9678,0,0,NA,NA,NA,NA,8912.9326,52776.2654
1952,46.43,165.2908,160.6478,NA,NA,12.0718,NA,0,NA,NA,NA,12.0718,2,238.6502,0,6003.399,0,71.5022,5174.1592,NA,0,NA,NA,NA,0,NA,20.4292,46.43,0,NA,702.0216,12038.3704,0,0,NA,35.2868,0,175.5054,0,0,NA,NA,NA,NA,3131.2392,28035.5054
1953,692.6856,1890.4908,5158.5012,NA,0,8581.1754,NA,41.0028,NA,43.62,NA,772.9464,7835.4112,14733.9636,10,17292.1084,0,3983.3784,14307.2776,NA,33.1512,NA,NA,NA,5549.3364,NA,3925.8,2296.1568,1039.9008,NA,17944.3956,14395.968,1226.5944,232.0584,NA,2950.4568,1825.0608,3322.9716,702.282,406.5384,NA,NA,NA,NA,5602.623,136795.8556
1954,38.704,195.408,52.864,NA,0,383.5557,NA,0,NA,NA,NA,0,387,1102.592,0,5647.2878,0,251.104,5212.62,NA,0,NA,NA,NA,4,0,25.488,5,0,NA,2601.664,13717.44,36,21.712,NA,0,479.552,263.376,216.0598,0,NA,NA,NA,NA,3781.9124,34423.3397
1955,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,4,0,66,0,0,99,NA,0,NA,NA,NA,0,NA,0,4,0,NA,27,997.8408,0,0,NA,0,4,0,0,0,NA,NA,NA,NA,842.7792,2044.62
1956,4,0,117,NA,NA,0,NA,0,NA,NA,NA,0,36,427,0,5395.8307,0,59,4548.1612,NA,0,NA,NA,NA,0,NA,0,26,0,NA,686,9386.3148,0,54,NA,0,0,183,0,0,NA,NA,NA,NA,3756.6505,24678.9572
1957,507.934,719.656,8227.1735,NA,NA,9401.5376,NA,0,NA,NA,NA,3535.658,45437.418,14738.038,0,17698.6174,0,3866.66,21559.7835,NA,0,NA,NA,NA,10384.236,NA,6346.69,3798.074,3198.692,NA,16038.19,13317.0156,7811.8988,769.356,NA,5992.568,20487.3544,1594.376,6986.1146,1900.528,NA,NA,NA,NA,7012.1722,231329.7416
1958,135,281,592.32,NA,NA,4,0,106,NA,NA,NA,0,1897,3699.7902,0,8473.5945,0,55.5,1982.4401,NA,0,0,NA,0,284.2644,0,0,142,0,NA,2287.2752,9109.2788,428,220.2075,0,609.1782,1106.8875,818.68,640.4188,0,NA,NA,NA,NA,4427.5944,37300.4296
1959,0,2,0,NA,NA,0,NA,0,NA,NA,NA,0,5,2,0,281,0,2,97,NA,0,0,NA,0,0,0,0,0,0,NA,167,1073.588,45,0,NA,0,0,4,31,0,NA,NA,NA,NA,877.6574,2587.2454
1960,40,90,54,NA,NA,14,NA,0,NA,NA,NA,189,28,376,0,1611.5167,0,22,1717.0832,NA,0,NA,0,NA,0,NA,0,0,0,NA,535.8,3782.7567,54,0,NA,0,93,137,182,0,NA,NA,NA,NA,3480.8948,12407.0514
1961,756.962,1385.279,13293.2664,NA,NA,892.8945,NA,0,NA,NA,NA,870.7776,72869.6,7409.268,10.6022,9142.0329,589.1794,8153.3808,5051.0844,NA,572.4314,NA,0,NA,1157.9278,NA,4767.8744,537.8698,223.4096,NA,6977.8374,10275.7298,1078.5308,569.2112,NA,1579.2966,2752.1676,2158.0624,2331.7267,0,NA,NA,NA,NA,4075.5034,159481.9061
1962,23.7475,23.7475,275.471,NA,NA,5.6994,NA,0,NA,NA,NA,265.0221,374,983.1465,0,4528.3524,0,230.8257,1729.8036,NA,0,NA,NA,NA,0,NA,8.5491,10.4489,0,NA,610.5222,8293.0336,384.7095,42.7455,NA,983.1465,230.8257,290.6694,1519.84,0,NA,NA,NA,NA,4584.4947,25398.8008
1963,0,18,3.5652,NA,NA,0,NA,0,NA,NA,NA,0,10.6956,0,0,586.44,0,3.5652,0,NA,0,NA,NA,NA,0,NA,0,0,0,NA,153,1876.16,0,0,NA,0,0,9,0,0,NA,NA,NA,NA,1447.04,4107.466
1964,0,0,2,NA,NA,0,NA,0,NA,NA,NA,2,0,0,0,27,0,0,187.2,NA,0,NA,NA,NA,0,NA,0,0,0,NA,20,1120.302,0,0,NA,0,4,26,18,0,NA,NA,NA,NA,913.711,2320.213
1965,74,209.2602,2573.3826,NA,0,321.8426,NA,0,NA,NA,NA,265.05,4172.0364,1204.632,2.25,1656.866,0,176.3575,1528.12,NA,0,NA,NA,NA,105.875,NA,400.4273,33.332,0,NA,1090.1709,2024.693,59.25,243,NA,0,540.09,69.125,1101.7188,0,NA,NA,0,NA,724.5135,18575.9928
1966,0,0,81.7,NA,NA,0,NA,0,NA,NA,NA,119.7,133,163.048,0,1662.9975,0,55.1,1695.3412,NA,0,NA,NA,NA,0,NA,63.65,0,0,NA,285.6462,3299.9328,0,0,NA,0,0,47.5,930.05,0,NA,NA,NA,NA,1543.44,10081.1057
1967,0,0,19.004,NA,NA,0,NA,0,NA,NA,NA,13.3028,49.4104,185.25,0,4593.51,0,25.6554,1319.955,NA,0,NA,NA,NA,0,NA,0,0,0,NA,423.94,6357.435,25.6554,0,NA,0,0,126,535.767,0,NA,NA,0,NA,6269.5028,19944.3878
1968,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,6,126.875,0,0,17,NA,0,NA,NA,NA,0,NA,0,0,0,NA,29.988,751.561,0,0,NA,0,0,0,20,0,NA,NA,0,NA,394.134,1345.558
1969,176.9812,0,14250.6896,NA,0,806.1536,NA,0,NA,NA,NA,329.4052,31320.5916,3044.246,506.3864,7471.4281,310.7756,2522.6045,3213.1216,NA,0,NA,NA,NA,395.3033,NA,1797.0512,763.8136,0,NA,4756.738,10349.6969,0,626.632,NA,552.8,586.8324,597.8408,3822.5258,0,NA,NA,NA,NA,1235.9697,89437.5871
1970,0,0,209,NA,0,0,NA,0,NA,NA,NA,325.908,1632.009,751.14,87.238,5726.144,84.769,117,4428.5025,0,0,NA,NA,NA,20.5,NA,139.3524,93.6036,0,NA,118.512,4083.7233,524.2635,0,NA,0,294.634,27.982,2557.905,0,NA,NA,NA,NA,6967.9008,28190.0871
1971,20,391,220,NA,NA,2356.7853,NA,0,NA,NA,NA,371.382,335,1617.104,0,21822.5568,0,153,13418.09,NA,0,NA,77.78,NA,867.486,NA,85,0,0,NA,3307.518,20730.528,1419.585,164,NA,0,1671.88,429.4,2803.346,133,NA,NA,NA,NA,12982.206,85376.6471
1972,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,39,14,0,606.0532,0,0,530.12,NA,0,NA,NA,NA,0,NA,0,2,0,NA,81,2252.4165,0,0,NA,0,0,4,29,0,NA,NA,NA,NA,662.568,4220.1577
1973,1037.5438,651,21703.5848,NA,NA,1747.41,NA,565.3125,NA,NA,NA,3584.9466,130399.8644,17666.1624,3147.4222,18700.0187,2330.2335,5776.9638,19123.7172,914.5656,0,NA,NA,NA,1174.2784,NA,10797.6393,2314.2703,106,NA,5441.0538,21929.82,2760.859,2153.622,NA,3345.5591,3126.1986,3207.84,7328.1135,771.21,NA,NA,NA,NA,4031.2026,295836.4121
1974,7,0,511.0716,NA,NA,37.5,0,29,NA,NA,NA,953.7474,1776.9856,840.4137,20,5267.376,118.606,353.3107,5294.578,NA,4,NA,0,NA,32,NA,269,267,4,NA,436.7616,10290.1216,2020.7679,20,NA,44.0022,535.1508,323.1536,3094.6318,0,NA,NA,NA,NA,5455.4436,38005.6221
1975,0,37.9968,79.9516,NA,NA,1887.561,NA,5.5412,NA,NA,NA,122.772,15.832,819.156,691.2918,5441.4458,14.2488,68.0625,8709.763,NA,2,0,274.6852,NA,367.9903,0,12.6656,58.5784,0,NA,1344.7968,20519.0748,1544.3496,39.58,0,46.6648,1492.2515,64.1196,1829.8252,0,NA,NA,NA,NA,6568.7127,52058.917
1976,0,0,22.55,NA,NA,262.0297,NA,0,NA,NA,NA,0,0,29.766,0,1174.7086,0,31,856.2176,NA,0,NA,NA,NA,111.2374,NA,0,16,0,NA,185.5368,6414.3156,63.0464,0,NA,NA,305.0491,53.218,117.75,0,NA,NA,NA,NA,1799.9975,11442.4227
1977,426.8688,127.2476,5351.4944,NA,194.8688,804.555,NA,159.4015,NA,NA,NA,592.93,41182.4696,8291.16,353.6456,3161.5024,506.8635,3281.9904,4023.0087,221.0292,309.8736,NA,NA,NA,345.5704,NA,2762.848,658.482,265.16,NA,1980.8658,4735.0185,703.6988,412.0432,NA,107.0784,1180.01,1406.7813,1632.294,0,NA,NA,25.4359,NA,1604.5632,86808.7586
1978,97.333,0,1146.4193,NA,0,130.1687,NA,1.486,NA,NA,NA,407.3641,3642.929,378.6291,395.949,6870.5273,0,289.9008,3304.3221,0,0,0,NA,NA,25.262,0,232.8291,0,11.145,NA,558.799,7236.4738,1160.64,0,0,91.389,349.3398,381.875,4190.17,0,NA,NA,NA,NA,4880.5078,35783.4589
1979,0,0,146.2848,NA,NA,1787.6374,NA,0,NA,NA,NA,116,188.1893,413.8547,1479.6248,11294.253,0,139.2,7830.196,0,0,0,161.47,0,22.0951,0,31.9998,0,0,NA,1243.7775,26553.6257,1980.321,23,0,0,800.048,165.7176,3028.725,0,NA,NA,NA,NA,11874.2237,69280.2434
1980,0,0,0,NA,NA,61.377,NA,0,NA,NA,NA,0,0,16.467,11.9,1836.6859,0,4.491,709.3253,0,0,NA,NA,NA,38.1735,NA,0,0,0,NA,168.6691,7757.6448,0,0,NA,0,153.4068,0,162.4,0,NA,NA,NA,NA,1693.305,12613.8454
1981,740.1015,812.7015,8033.0638,NA,0,268.242,1173.725,247.491,NA,NA,NA,750.936,41740.485,4037.04,301.8256,10658.6337,186.15,1575.8256,9858.0898,227.6197,15.4208,1316.69,298.7606,967.22,62.6808,566.565,2339.2344,319.4433,11,NA,3028.3516,12781.3735,1486.1224,765.0078,3541.4725,0,1095.8472,1555.183,5631.5848,0,NA,NA,0,NA,6773.7392,123167.6271
1982,12.3255,0,37.7982,NA,NA,0,NA,0,NA,NA,NA,40,23.8293,99,2,580.346,NA,32.868,347.6784,0,NA,NA,NA,NA,0,NA,2,NA,0,NA,72.0018,1000.7025,51,0,NA,0,4,19,394.4352,0,NA,NA,NA,NA,1032.33,3751.3149
1983,20.539,0,39.292,NA,NA,778.4946,NA,9.823,NA,NA,NA,168.9273,0,107.4241,17.8668,3117.7062,0,42.864,3216.1186,0,13.395,NA,0,NA,24.2298,NA,11.609,13.395,0,NA,801.741,6363.7545,800.3172,86,NA,NA,567.216,113.411,1179.8672,0,NA,NA,NA,NA,2931.6392,20425.6305
1984,9.7691,0,87.2982,NA,NA,521.1648,NA,0,NA,NA,NA,219,NA,229.1298,7.0824,6197.44,NA,118.1173,6213.7232,0,13.3215,NA,NA,NA,0,NA,0,17.762,0,NA,1354.9088,14791.6864,467.0168,0,NA,NA,1049.2696,262.8776,1328.633,0,NA,NA,NA,NA,7305.274,40193.4745
1985,321.552,531.5794,11159.148,NA,0,867.0061,254.3922,160.55,NA,NA,130.3874,1666.6857,85671.8162,4885.805,1276.8903,17739.59,519.3477,2679.6332,16153.7805,360.0576,37.7124,691.1444,435,1074.1004,26.4422,342.8368,3132.4986,565.7146,27.354,NA,3773.7894,18166.0505,3018.1344,1843.078,254.3922,1753.2152,1456.9903,1614.4038,18533.0364,0,NA,NA,NA,NA,14565.1752,215689.2901
1986,30.6144,0,1226.4197,NA,NA,57.4977,0,20.0907,NA,NA,NA,649.6875,69.8391,338.4,10.5237,4746.5121,10.5237,260.1779,3291.7256,0,0,NA,NA,NA,0,NA,91.8432,0,0,NA,1003.8336,6562.0196,169,129.9948,NA,7.6536,182.9342,366.827,3649.0614,0,NA,NA,NA,NA,4472.459,27347.6385
