"","Year","Kazchek Creek","Kuzkwa Creek","Middle River","Tachie River"
"1",1950,76,0,1632,126
"2",1951,58,0,1132,56
"3",1952,5,0,9,2
"4",1953,3228,1129,51239,23017
"5",1954,41,0,1985,661
"6",1955,9,0,1389,1876
"7",1956,44,0,180,204
"8",1957,11374,25743,198410,60870
"9",1958,206,0,4670,7655
"10",1959,4,0,2373,1713
"11",1960,3,0,500,804
"12",1961,7799,18848,82479,85034
"13",1962,8,7,5793,3198
"14",1963,70,0,531,491
"15",1964,0,0,298,526
"16",1965,904,5181,77203,39492
"17",1966,66,152,2049,1857
"18",1967,44,1,578,274
"19",1968,15,0,99,65
"20",1969,89,4691,61053,48044
"21",1970,41,48,6318,1620
"22",1971,20,115,389,183
"23",1972,26,20,337,2992
"24",1973,1667,10850,50513,52535
"25",1974,121,365,4504,2381
"26",1975,0,0,2676,3003
"27",1976,14,0,185,1475
"28",1977,334,5417,36413,32558
"29",1978,66,406,2218,4385
"30",1979,52,1094,9483,5728
"31",1980,0,8,58,221
"32",1981,3273,11902,60079,43592
"33",1982,212,641,3859,3900
"34",1983,7,452,413,551
"35",1984,6.59537804032058,108,101,443
"36",1985,1142,1566,63541,92644
"37",1986,316,2116,5208,7135
"38",1987,60,230,1072,776
"39",1988,60,1157,572,1644
"40",1989,372,2228,162680,157838
"41",1990,510,8400,44038,56897
"42",1991,63,3424,8394,26717
"43",1992,7,702,948,9797
"44",1993,5237,30348,211194,926731
"45",1994,268,1103,15654,22613
"46",1995,52,1643,3731,11184
"47",1996,65,1783,4147,21074
"48",1997,2868,40704,155767,207529
"49",1998,1230,1446,19236,45123
"50",1999,64,2422,5202,24237
"51",2000,202,7544,24006,184986
"52",2001,3319,8549,65264,96625
"53",2002,385,1424,3776,9936
"54",2003,58,834,2038,13662
"55",2004,137,1450,8535,36402
"56",2005,847,8084,39678,102560
"57",2006,51,1577,3733,7552
"58",2007,9,634,330,2227
"59",2008,32,3223,2472,47480
"60",2009,634,1714,14237,23601
"61",2010,19,2086,7708,33448
"62",2011,3,126,114,471
"63",2012,74,2775,5441,21124
"64",2013,980,2763,10692,54295
"65",2014,5,2387,5017,19895
"66",2015,0,209,1410,2667
"67",2016,21,570,1028,2581
"68",2017,186,3962,10197,64046
"69",2018,15,3354,8432,55186
"70",2019,6,188,460,2331
"71",2020,6,701,466,924
"72",2021,323,7914,21967,157863
"73",2022,26,2063,11458,27192
"74",2023,NA,NA,NA,NA
