"Year","EFS"
1950,250
1951,250
1952,1828
1953,2748
1954,1617
1955,2602
1956,1244
1957,2181
1958,4314
1959,7992
1960,1486
1961,40
1962,329
1963,16308
1964,225
1965,20
1966,178
1967,2684
1968,762
1969,10
1970,89
1971,3878
1972,1299
1973,5
1974,NA
1975,1891
1976,375
1977,NA
1978,NA
1979,1409.5
1980,389
1981,NA
1982,NA
1983,928
1984,1567
1985,NA
1986,NA
1987,1705
1988,6293
1989,46
1990,NA
1991,1386
1992,740
1993,79.5
1994,100
1995,1067
1996,770
1997,113
1998,257
1999,533
2000,1738
2001,647
2002,730
2003,155
2004,249
2005,260
2006,1383
2007,85
2008,16
2009,20
2010,355
2011,447
2012,40
2013,68
2014,54
2015,482
2016,82
2017,10
2018,35
2019,NA
2020,30
2021,654
