"Year","EFS"
1950,233
1951,364
1952,737
1953,690
1954,686
1955,49
1956,460
1957,561
1958,327
1959,296
1960,300
1961,610
1962,289
1963,166
1964,345
1965,151
1966,452
1967,533
1968,739
1969,318
1970,158
1971,245
1972,188
1973,205
1974,723
1975,566
1976,722
1977,228
1978,956
1979,374
1980,252
1981,275
1982,267
1983,541
1984,189
1985,315
1986,471
1987,665
1988,1338
1989,168
1990,267.5
1991,340
1992,50
1993,90.5
1994,64
1995,62
1996,24
1997,13
1998,18
1999,64
2000,4
2001,30
2002,240
2003,56
2004,12
2005,102
2006,69
2007,65
2008,36
2009,803
2010,448
2011,726
2012,228
2013,729
2014,144
2015,58
2016,93
2017,83
2018,68
2019,88
2020,94
2021,62
