"Year","Widgeon Slough","ETS"
1950,559.0256,559.0256
1951,653.5088,653.5088
1952,1311,1311
1953,1445.2608,1445.2608
1954,985.9,985.9
1955,98.42,98.42
1956,919,919
1957,1146.3072,1146.3072
1958,653,653
1959,615.78,615.78
1960,400,400
1961,1291,1291
1962,595.8253,595.8253
1963,349.117,349.117
1964,652.08,652.08
1965,256.575,256.575
1966,822.7,822.7
1967,993.01,993.01
1968,1460.1216,1460.1216
1969,715,715
1970,361,361
1971,394,394
1972,293.1426,293.1426
1973,409.1941,409.1941
1974,1612.7424,1612.7424
1975,911,911
1976,1366,1366
1977,417.6112,417.6112
1978,1574,1574
1979,599,599
1980,386.0047,386.0047
1981,572,572
1982,466.6003,466.6003
1983,922.5369,922.5369
1984,266,266
1985,801,801
1986,1083.29,1083.29
1987,1524.5258,1524.5258
1988,2108.6808,2108.6808
1989,391,391
1990,0,0
1991,634,634
1992,92,92
1993,NA,NA
1994,151.3951,151.3951
1995,106.6954,106.6954
1996,75.2,75.2
1997,30,30
1998,56,56
1999,162,162
2000,21.75,21.75
2001,78.931,78.931
2002,560.048,560.048
2003,111.8374,111.8374
2004,37.6908,37.6908
2005,237.9048,237.9048
2006,160.9452,160.9452
2007,176,176
2008,62.9935,62.9935
2009,1522.3904,1522.3904
2010,965.9755,965.9755
2011,1525.4096,1525.4096
2012,457.0354,457.0354
2013,1636.1835,1636.1835
2014,346.032,346.032
2015,137,137
2016,236,236
2017,131.2716,131.2716
2018,171,171
2019,176,176
2020,237.356,237.356
2021,124,124
