"CU_ID","Year","Value"
"CK-03",1995,82279.7508306332
"CK-03",1996,60478.4958878056
"CK-03",1997,53165.6561644177
"CK-03",1998,63380.0895704306
"CK-03",1999,87664.3500134017
"CK-03",2000,104871.068213272
"CK-03",2001,116567.26973828
"CK-03",2002,93806.9882849713
"CK-03",2003,116134.47863925
"CK-03",2004,133999.133633395
"CK-03",2005,127055.114701783
"CK-03",2006,116971.45570098
"CK-03",2007,87227.4227111667
"CK-03",2008,64449.4029341839
"CK-03",2009,60792.785381436
"CK-03",2010,69511.5710313266
"CK-03",2011,78344.5915738885
"CK-03",2012,79663.0595588794
"CK-03",2013,70520.901907088
"CK-03",2014,57216.9139300136
"CK-03",2015,54492.764360314
"CK-03",2016,53437.0274654195
"CK-03",2017,48710.4739488958
"CK-03",2018,49027.032101534
"CK-03",2019,40019.4362492817
"CK-03",2020,40438.8745786481
"CK-03",2021,42527.5185286755
"CK-03",2022,49062.1595667839
"CK-04",1995,357.293984997069
"CK-04",1996,374.204606247232
"CK-04",1997,359.355781061562
"CK-04",1998,424.619885408594
"CK-04",1999,363.84215625426
"CK-04",2000,430.970778109684
"CK-04",2001,493.183199511491
"CK-04",2002,473.209451020481
"CK-04",2003,448.168856431157
"CK-04",2004,454.653331605861
"CK-04",2005,570.808362763323
"CK-04",2006,636.199402703136
"CK-04",2007,823.98541381717
"CK-04",2008,705.373498643875
"CK-04",2009,885.838878061484
"CK-04",2010,889.258296608343
"CK-04",2011,838.958936418542
"CK-04",2012,666.76470658472
"CK-04",2013,660.96587172361
"CK-04",2014,598.153872405279
"CK-04",2015,480.415425463115
"CK-04",2016,364.934069635466
"CK-04",2017,319.30630045628
"CK-04",2018,292.301054925136
"CK-04",2019,250.769450564331
"CK-04",2020,206.209447866003
"CK-04",2021,183.829043578584
"CK-04",2022,178.340783698966
"CK-05",1995,NA
"CK-05",1996,NA
"CK-05",1997,NA
"CK-05",1998,NA
"CK-05",1999,NA
"CK-05",2000,NA
"CK-05",2001,NA
"CK-05",2002,NA
"CK-05",2003,NA
"CK-05",2004,NA
"CK-05",2005,NA
"CK-05",2006,NA
"CK-05",2007,NA
"CK-05",2008,NA
"CK-05",2009,153.400368796192
"CK-05",2010,130.88160707952
"CK-05",2011,126.504544847804
"CK-05",2012,126.504544847804
"CK-05",2013,NA
"CK-05",2014,NA
"CK-05",2015,NA
"CK-05",2016,NA
"CK-05",2017,NA
"CK-05",2018,NA
"CK-05",2019,NA
"CK-05",2020,55.4752460380541
"CK-05",2021,62.0811440008112
"CK-05",2022,42.4025431109945
"CK-06",1995,NA
"CK-06",1996,NA
"CK-06",1997,NA
"CK-06",1998,NA
"CK-06",1999,NA
"CK-06",2000,NA
"CK-06",2001,NA
"CK-06",2002,NA
"CK-06",2003,NA
"CK-06",2004,NA
"CK-06",2005,NA
"CK-06",2006,NA
"CK-06",2007,NA
"CK-06",2008,NA
"CK-06",2009,NA
"CK-06",2010,NA
"CK-06",2011,NA
"CK-06",2012,NA
"CK-06",2013,NA
"CK-06",2014,NA
"CK-06",2015,NA
"CK-06",2016,NA
"CK-06",2017,NA
"CK-06",2018,NA
"CK-06",2019,49.3844266392718
"CK-06",2020,46.012224732011
"CK-06",2021,48.1122020825091
"CK-06",2022,31.1783856282462
"CK-07",1995,NA
"CK-07",1996,NA
"CK-07",1997,NA
"CK-07",1998,NA
"CK-07",1999,140.276149797455
"CK-07",2000,181.780006342042
"CK-07",2001,260.539890917589
"CK-07",2002,394.698970447819
"CK-07",2003,541.953482858049
"CK-07",2004,NA
"CK-07",2005,NA
"CK-07",2006,NA
"CK-07",2007,NA
"CK-07",2008,507.2081208604
