DataSet,Species,Year,CU_ID,CU_Name,DU_ID,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear
Sk_Fraser,Sockeye,1950,CU-1,Bowron_ES,TBD,14253.6888,7298,14253.6888,7298,74998,74998,1950,TRUE
Sk_Fraser,Sockeye,1951,CU-1,Bowron_ES,TBD,19184.1268,10040,19184.1268,10040,103443,103443,1950,TRUE
Sk_Fraser,Sockeye,1952,CU-1,Bowron_ES,TBD,16459.806,8568,16459.806,8568,43296,43296,1950,TRUE
Sk_Fraser,Sockeye,1953,CU-1,Bowron_ES,TBD,11720.9356,5734,11720.9356,5734,75576,75576,1950,TRUE
Sk_Fraser,Sockeye,1954,CU-1,Bowron_ES,TBD,9282.642,4566,9282.642,4566,66264,66264,1950,TRUE
Sk_Fraser,Sockeye,1955,CU-1,Bowron_ES,TBD,8254.18,4472,8254.18,4472,96912,96912,1950,TRUE
Sk_Fraser,Sockeye,1956,CU-1,Bowron_ES,TBD,6174.3032,3639,6174.3032,3639,37746,37746,1950,TRUE
Sk_Fraser,Sockeye,1957,CU-1,Bowron_ES,TBD,10603.3108,6416,10603.3108,6416,41966,41966,1950,TRUE
Sk_Fraser,Sockeye,1958,CU-1,Bowron_ES,TBD,13103.4004,8297,13103.4004,8297,18112,18112,1950,TRUE
Sk_Fraser,Sockeye,1959,CU-1,Bowron_ES,TBD,25819.2516,14614,25819.2516,14614,61854,61854,1950,TRUE
Sk_Fraser,Sockeye,1960,CU-1,Bowron_ES,TBD,6726.936,3506,6726.936,3506,17729,17729,1950,TRUE
Sk_Fraser,Sockeye,1961,CU-1,Bowron_ES,TBD,6575.9772,3675,6575.9772,3675,28148,28148,1950,TRUE
Sk_Fraser,Sockeye,1962,CU-1,Bowron_ES,TBD,5549.2808,3219,5549.2808,3219,21321,21321,1950,TRUE
Sk_Fraser,Sockeye,1963,CU-1,Bowron_ES,TBD,19275.6047,11467,19275.6047,11467,214288,214288,1950,TRUE
Sk_Fraser,Sockeye,1964,CU-1,Bowron_ES,TBD,1324.2,690,1324.2,690,27507,27507,1950,TRUE
Sk_Fraser,Sockeye,1965,CU-1,Bowron_ES,TBD,2127.2,1170,2127.2,1170,17799,17799,1950,TRUE
Sk_Fraser,Sockeye,1966,CU-1,Bowron_ES,TBD,2092.584,1151,2092.584,1151,22249,22249,1950,TRUE
Sk_Fraser,Sockeye,1967,CU-1,Bowron_ES,TBD,27980.346,13991,27980.346,13991,206370,206370,1950,TRUE
Sk_Fraser,Sockeye,1968,CU-1,Bowron_ES,TBD,3419.617,1710,3419.617,1710,43543,43543,1950,TRUE
Sk_Fraser,Sockeye,1969,CU-1,Bowron_ES,TBD,3872,1936,3872,1936,17211,17211,1950,TRUE
Sk_Fraser,Sockeye,1970,CU-1,Bowron_ES,TBD,873.306,497,873.306,497,15826,15826,1950,TRUE
Sk_Fraser,Sockeye,1971,CU-1,Bowron_ES,TBD,19964.151,10761,19964.151,10761,124507,124507,1950,TRUE
Sk_Fraser,Sockeye,1972,CU-1,Bowron_ES,TBD,3653.0264,1969,3653.0264,1969,16971,16971,1950,TRUE
Sk_Fraser,Sockeye,1973,CU-1,Bowron_ES,TBD,4023.8024,2012,4023.8024,2012,10662,10662,1950,TRUE
Sk_Fraser,Sockeye,1974,CU-1,Bowron_ES,TBD,1850,1046,1850,1046,17431,17431,1950,TRUE
Sk_Fraser,Sockeye,1975,CU-1,Bowron_ES,TBD,26219.16,14735,26219.16,14735,122376,122376,1950,TRUE
Sk_Fraser,Sockeye,1976,CU-1,Bowron_ES,TBD,2037.15,1069,2037.15,1069,7112,7112,1950,TRUE
Sk_Fraser,Sockeye,1977,CU-1,Bowron_ES,TBD,2207,1214,2207,1214,15396,15396,1950,TRUE
Sk_Fraser,Sockeye,1978,CU-1,Bowron_ES,TBD,2772.8748,1678,2772.8748,1678,40627,40627,1950,TRUE
Sk_Fraser,Sockeye,1979,CU-1,Bowron_ES,TBD,30898,16178,30898,16178,29984,29984,1950,TRUE
Sk_Fraser,Sockeye,1980,CU-1,Bowron_ES,TBD,2638.7492,1376,2638.7492,1376,45170,45170,1950,TRUE
Sk_Fraser,Sockeye,1981,CU-1,Bowron_ES,TBD,1032.876,562,1032.876,562,16532,16532,1950,TRUE
Sk_Fraser,Sockeye,1982,CU-1,Bowron_ES,TBD,1647,990,1647,990,5277,5277,1950,TRUE
Sk_Fraser,Sockeye,1983,CU-1,Bowron_ES,TBD,5805.9,3484,5805.9,3484,38132,38132,1950,TRUE
Sk_Fraser,Sockeye,1984,CU-1,Bowron_ES,TBD,9562.4001,4909,9562.4001,4909,50591,50591,1950,TRUE
Sk_Fraser,Sockeye,1985,CU-1,Bowron_ES,TBD,5845.6695,3030,5845.6695,3030,19177,19177,1950,TRUE
Sk_Fraser,Sockeye,1986,CU-1,Bowron_ES,TBD,2850.1638,1396,2850.1638,1396,21198,21198,1950,TRUE
Sk_Fraser,Sockeye,1987,CU-1,Bowron_ES,TBD,11071,5660,11071,5660,22460,22460,1950,TRUE
Sk_Fraser,Sockeye,1988,CU-1,Bowron_ES,TBD,12464.334,7405,12464.334,7405,13050,13050,1950,TRUE
Sk_Fraser,Sockeye,1989,CU-1,Bowron_ES,TBD,2534,1367,2534,1367,12842,12842,1950,TRUE
Sk_Fraser,Sockeye,1990,CU-1,Bowron_ES,TBD,7513.374,5065,7513.374,5065,31130,31130,1950,TRUE
Sk_Fraser,Sockeye,1991,CU-1,Bowron_ES,TBD,4919,2460,4919,2460,48625,48625,1950,TRUE
Sk_Fraser,Sockeye,1992,CU-1,Bowron_ES,TBD,2560,1117,2560,1117,12869,12869,1950,TRUE
Sk_Fraser,Sockeye,1993,CU-1,Bowron_ES,TBD,1184,592,1184,592,20467,20467,1950,TRUE
Sk_Fraser,Sockeye,1994,CU-1,Bowron_ES,TBD,4380,1845,4380,1845,10849,10849,1950,TRUE
Sk_Fraser,Sockeye,1995,CU-1,Bowron_ES,TBD,27557.6919,13467,27557.6919,13467,27351,27351,1950,TRUE
Sk_Fraser,Sockeye,1996,CU-1,Bowron_ES,TBD,8146.5664,4055,8146.5664,4055,26776,26776,1950,TRUE
Sk_Fraser,Sockeye,1997,CU-1,Bowron_ES,TBD,4755.1924,2119,4755.1924,2119,5024,5024,1950,TRUE
Sk_Fraser,Sockeye,1998,CU-1,Bowron_ES,TBD,4751,2830,4751,2830,17001,17001,1950,TRUE
Sk_Fraser,Sockeye,1999,CU-1,Bowron_ES,TBD,8238,3295,8238,3295,19734,19734,1950,TRUE
Sk_Fraser,Sockeye,2000,CU-1,Bowron_ES,TBD,12480.384,6720,12480.384,6720,25283,25283,1950,TRUE
Sk_Fraser,Sockeye,2001,CU-1,Bowron_ES,TBD,5504.9166,2752,5504.9166,2752,6825,6825,1950,TRUE
Sk_Fraser,Sockeye,2002,CU-1,Bowron_ES,TBD,8432.355,4505,8432.355,4505,7674,7674,1950,TRUE
Sk_Fraser,Sockeye,2003,CU-1,Bowron_ES,TBD,6076.8,3038,6076.8,3038,3792,3792,1950,TRUE
Sk_Fraser,Sockeye,2004,CU-1,Bowron_ES,TBD,916,458,916,458,6090,6090,1950,TRUE
Sk_Fraser,Sockeye,2005,CU-1,Bowron_ES,TBD,1730,866,1730,866,2259,2259,1950,TRUE
Sk_Fraser,Sockeye,2006,CU-1,Bowron_ES,TBD,1432.1664,636,1432.1664,636,17435,17435,1950,TRUE
Sk_Fraser,Sockeye,2007,CU-1,Bowron_ES,TBD,2132.3649,1075,2132.3649,1075,8365,8365,1950,TRUE
Sk_Fraser,Sockeye,2008,CU-1,Bowron_ES,TBD,773.3475,275,773.3475,275,782,782,1950,TRUE
Sk_Fraser,Sockeye,2009,CU-1,Bowron_ES,TBD,1687.2014,843,1687.2014,843,6112,6112,1950,TRUE
Sk_Fraser,Sockeye,2010,CU-1,Bowron_ES,TBD,8189.2056,4095,8189.2056,4095,24716,24716,1950,TRUE
Sk_Fraser,Sockeye,2011,CU-1,Bowron_ES,TBD,3991.0932,2037,3991.0932,2037,5280,5280,1950,TRUE
Sk_Fraser,Sockeye,2012,CU-1,Bowron_ES,TBD,59,30,59,30,186,186,1950,TRUE
Sk_Fraser,Sockeye,2013,CU-1,Bowron_ES,TBD,3225.0814,1924,3225.0814,1924,505,505,1950,TRUE
Sk_Fraser,Sockeye,2014,CU-1,Bowron_ES,TBD,11418.576,6252,11418.576,6252,19505,19505,1950,TRUE
Sk_Fraser,Sockeye,2015,CU-1,Bowron_ES,TBD,3458.038,2211,3458.038,2211,106,106,1950,TRUE
Sk_Fraser,Sockeye,2016,CU-1,Bowron_ES,TBD,143,72,143,72,1261,1261,1950,TRUE
Sk_Fraser,Sockeye,2017,CU-1,Bowron_ES,TBD,244,122,244,122,4557,4557,1950,TRUE
Sk_Fraser,Sockeye,2018,CU-1,Bowron_ES,TBD,8300.925,4846,8300.925,4846,6100,6100,1950,TRUE
Sk_Fraser,Sockeye,2019,CU-1,Bowron_ES,TBD,20,10,20,10,NA,NA,1950,TRUE
Sk_Fraser,Sockeye,2020,CU-1,Bowron_ES,TBD,344,172,344,172,NA,NA,1950,TRUE
Sk_Fraser,Sockeye,2021,CU-1,Bowron_ES,TBD,3065.1548,1709,3065.1548,1709,NA,NA,1950,TRUE
Sk_Fraser,Sockeye,2022,CU-1,Bowron_ES,TBD,3128,1525,3128,1525,NA,NA,1950,TRUE
Sk_Fraser,Sockeye,2023,CU-1,Bowron_ES,TBD,NA,NA,NA,NA,NA,NA,1950,TRUE
Sk_Fraser,Sockeye,1965,CU-10,Seton_L,TBD,981,589,981,589,3308,3308,1965,TRUE
Sk_Fraser,Sockeye,1966,CU-10,Seton_L,TBD,29703.7611,15201,29703.7611,15201,31007,31007,1965,TRUE
Sk_Fraser,Sockeye,1967,CU-10,Seton_L,TBD,3856.755,1983,3856.755,1983,4119,4119,1965,TRUE
Sk_Fraser,Sockeye,1968,CU-10,Seton_L,TBD,83.4544,50,83.4544,50,1046,1046,1965,TRUE
Sk_Fraser,Sockeye,1969,CU-10,Seton_L,TBD,945.5697,491,945.5697,491,30743,30743,1965,TRUE
Sk_Fraser,Sockeye,1970,CU-10,Seton_L,TBD,3828.4605,2139,3828.4605,2139,56751,56751,1965,TRUE
Sk_Fraser,Sockeye,1971,CU-10,Seton_L,TBD,281,155,281,155,15812,15812,1965,TRUE
Sk_Fraser,Sockeye,1972,CU-10,Seton_L,TBD,190,98,190,98,13156,13156,1965,TRUE
Sk_Fraser,Sockeye,1973,CU-10,Seton_L,TBD,2834.3376,1688,2834.3376,1688,80696,80696,1965,TRUE
Sk_Fraser,Sockeye,1974,CU-10,Seton_L,TBD,8263.9725,4843,8263.9725,4843,40966,40966,1965,TRUE
Sk_Fraser,Sockeye,1975,CU-10,Seton_L,TBD,3081.02,1631,3081.02,1631,14926,14926,1965,TRUE
Sk_Fraser,Sockeye,1976,CU-10,Seton_L,TBD,1010.74,753,1010.74,753,7097,7097,1965,TRUE
Sk_Fraser,Sockeye,1977,CU-10,Seton_L,TBD,7304.078,3923,7304.078,3923,39221,39221,1965,TRUE
