"DataSet","Year","Pop_Name","CU_Name","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","SpnForAbd_Total","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Chilko River","Chilko - Summer",10870,10870,10870,10870,NA,NA,46843,"L-06-03",NA
"Sk_Fraser",1938,"Birkenhead River","Lillooet-Harrison - Late",11100,11100,11100,11100,NA,NA,46098,"L-04-01",NA
"Sk_Fraser",1938,"Little River","Shuswap Complex - Late",175000,175000,175000,175000,NA,NA,46228,"L-09-03",NA
"Sk_Fraser",1938,"Middle River","Takla-Trembleur-Stuart - Summer",62,62,62,62,NA,NA,45552,"L-06-13",NA
"Sk_Fraser",1938,"Chilliwack Lake","Chilliwack - Early Summer",25,25,25,25,NA,NA,45092,"L-03-01",NA
"Sk_Fraser",1938,"Cultus Lake","Cultus - Late",13342,13342,13342,13342,NA,NA,45093,"L-03-02",NA
"Sk_Fraser",1938,"Gluske Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45572,"L-06-14",NA
"Sk_Fraser",1938,"Hudson Bay Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45592,"L-06-14",NA
"Sk_Fraser",1938,"Leo Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45575,"L-06-14",NA
"Sk_Fraser",1938,"McDougall Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45579,"L-06-14",NA
"Sk_Fraser",1938,"Paula Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45557,"L-06-14",NA
"Sk_Fraser",1938,"Point Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45585,"L-06-14",NA
"Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45577,"L-06-14",NA
"Sk_Fraser",1938,"Sandpoint Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45576,"L-06-14",NA
"Sk_Fraser",1938,"Shale Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45588,"L-06-14",NA
"Sk_Fraser",1938,"Sinta Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45580,"L-06-14",NA
"Sk_Fraser",1938,"Maclaing Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45591,"L-06-14",NA
"Sk_Fraser",1938,"15 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45590,"L-06-14",NA
"Sk_Fraser",1938,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45587,"L-06-14",NA
"Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45560,"L-06-13",NA
"Sk_Fraser",1938,"Kuzkwa Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45554,"L-06-13",NA
"Sk_Fraser",1938,"Pinchi Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45539,"L-06-13",NA
"Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45578,"L-06-13",NA
"Sk_Fraser",1938,"Tachie River","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45549,"L-06-13",NA
"Sk_Fraser",1938,"Fleming Creek","Takla-Trembleur - Early Stuart",5,5,5,5,NA,NA,45556,"L-06-14",NA
"Sk_Fraser",1938,"Forfar Creek","Takla-Trembleur - Early Stuart",4694,4694,4694,4694,NA,NA,45571,"L-06-14",NA
"Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur - Early Stuart",4,4,4,4,NA,NA,45559,"L-06-14",NA
"Sk_Fraser",1938,"O'Ne-ell Creek","Takla-Trembleur - Early Stuart",2835,2835,2835,2835,NA,NA,45570,"L-06-14",NA
"Sk_Fraser",1938,"Narrows Creek","Takla-Trembleur - Early Stuart",115,115,115,115,NA,NA,45586,"L-06-14",NA
"Sk_Fraser",1938,"Van Decar Creek","Takla-Trembleur - Early Stuart",18,18,18,18,NA,NA,45569,"L-06-14",NA
"Sk_Fraser",1938,"East Creek","Harrison (U/S) - Late",187,187,187,187,NA,NA,46055,"L-03-04",NA
"Sk_Fraser",1938,"Harrison River","Harrison River - Summer",7500,7500,7500,7500,NA,NA,46030,"R-03",NA
"Sk_Fraser",1938,"Trout Lake Creek","Harrison (D/S) - Late",2520,2520,2520,2520,NA,NA,46059,"L-03-03",NA
"Sk_Fraser",1938,"Weaver Creek","Harrison (U/S) - Late",18012,18012,18012,18012,NA,NA,46044,"L-03-04",NA
"Sk_Fraser",1938,"Adams River, lower","Shuswap Complex - Late",620000,620000,620000,620000,NA,NA,46239,"L-09-03",NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap Complex - Late",2039,2039,2039,2039,NA,NA,46289,"L-09-03",NA
"Sk_Fraser",1938,"Shuswap Lake","Shuswap Complex - Late",1130,1130,1130,1130,NA,NA,45764,"L-09-03",NA
"Sk_Fraser",1938,"Spuzzum Creek","CU not identified",7,7,7,7,NA,NA,47150,NA,NA
"Sk_Fraser",1938,"Kawkawa Creek/Lake","Kawkawa - Late",31,31,31,31,NA,NA,47125,NA,NA
"Sk_Fraser",1938,"Upper Pitt River","Pitt - Early Summer",8457,8457,8457,8457,NA,NA,47917,"L-03-05",NA
"Sk_Fraser",1938,"Widgeon Slough","Widgeon - Summer",400,400,400,400,NA,NA,47954,"R-02",NA
"Sk_Fraser",1938,"Endako River","Fraser - Early Summer",117,117,117,117,NA,NA,45502,NA,NA
"Sk_Fraser",1938,"Nithi River","Francois-Fraser - Summer",90,90,90,90,NA,NA,45522,"L-06-07",NA
"Sk_Fraser",1938,"Ormond Creek","Francois-Fraser - Summer",11,11,11,11,NA,NA,46023,NA,NA
"Sk_Fraser",1938,"Finn Creek","Kamloops - Summer",0,0,0,0,NA,NA,46782,"L-10-01",NA
"Sk_Fraser",1938,"Lion Creek","Kamloops - Summer",0,0,0,0,NA,NA,46772,"L-10-01",NA
"Sk_Fraser",1938,"Ryan River","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46122,"L-04-01",NA
"Sk_Fraser",1938,"Miller Creek","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46117,"L-04-01",NA
"Sk_Fraser",1938,"Green River","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46107,"L-04-01",NA
"Sk_Fraser",1938,"Stellako River","Francois-Fraser - Summer",6943,6943,6943,6943,NA,NA,46013,"L-06-07",NA
"Sk_Fraser",1938,"Raft River","Kamloops - Summer",587,587,587,587,NA,NA,46710,"L-10-01",NA
"Sk_Fraser",1938,"Bowron River, upper","Bowron - Early Summer",2205,2205,2205,2205,NA,NA,47419,"L-07-01",NA
"Sk_Fraser",1938,"Quesnel River","Middle Fraser - Summer",4,4,4,4,NA,NA,46873,"L-06-10",NA
"Sk_Fraser",1938,"Gates River","Anderson-Seton - Early Summer",13,13,13,13,NA,NA,47211,"L-06-01",NA
"Sk_Fraser",1938,"Portage Creek","Seton - Late",56,56,56,56,NA,NA,47181,"L-06-11",NA
"Sk_Fraser",1938,"Seton Creek","CU not identified",162,162,162,162,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Nahatlatch Lake","Nahatlatch - Early Summer",0,0,0,0,NA,NA,45094,"L-05-02",NA
"Sk_Fraser",1938,"Big Silver Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46072,"L-03-03",NA
"Sk_Fraser",1938,"Bear Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Douglas Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46083,"L-03-03",NA
"Sk_Fraser",1938,"Lillooet Slough","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46025,"L-04-01",NA
"Sk_Fraser",1938,"Bridge River","Middle Fraser - Summer",0,0,0,0,NA,NA,47221,NA,NA
"Sk_Fraser",1938,"Seymour River","Shuswap - Early Summer",0,0,0,0,NA,NA,46328,"L-09-02",NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,46288,"L-09-02",NA
"Sk_Fraser",1938,"Anstey River","Shuswap - Early Summer",0,0,0,0,NA,NA,46348,"L-09-02",NA
"Sk_Fraser",1938,"Eagle River","Shuswap - Early Summer",0,0,0,0,NA,NA,46358,"L-09-02",NA
"Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,0,0,NA,NA,46268,NA,NA
"Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,0,0,NA,NA,46248,NA,NA
"Sk_Fraser",1938,"Horsefly River","Quesnel - Summer",0,0,0,0,NA,NA,46893,"L-06-10",NA
"Sk_Fraser",1938,"Little Horsefly River","Quesnel - Summer",0,0,0,0,NA,NA,46903,"L-06-10",NA
"Sk_Fraser",1938,"Mitchell River","Quesnel - Summer",0,0,0,0,NA,NA,46913,"L-06-10",NA
"Sk_Fraser",1938,"Ankwill Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45596,"L-06-14",NA
"Sk_Fraser",1938,"Bivouac Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45574,"L-06-14",NA
"Sk_Fraser",1938,"Blanchet Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45589,"L-06-14",NA
"Sk_Fraser",1938,"Crow Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45583,"L-06-14",NA
"Sk_Fraser",1938,"Driftwood River","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45598,"L-06-14",NA
"Sk_Fraser",1938,"Dust Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45581,"L-06-14",NA
"Sk_Fraser",1938,"Sidney Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45558,"L-06-14",NA
"Sk_Fraser",1938,"Lovell Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45594,"L-06-14",NA
"Sk_Fraser",1938,"French Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45595,"L-06-14",NA
"Sk_Fraser",1938,"Frypan Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45593,"L-06-14",NA
