"","Pop_Name","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","Timing.Group","DU_ID"
"1","15 Mile Creek",45590,45590,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"2","20 Mile Creek",46069,46069,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"3","25 Mile Creek",45587,45587,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"4","25 Mile Creek",46152,46152,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"5","Abbott Creek",45054,45054,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"6","Adams Channel",45082,45082,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"7","Adams Channel",45083,45083,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"8","Adams Lake",45089,45089,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"9","Adams Lake - misc. east side shore",3408,3408,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"10","Adams Lake - misc. north end shore",3409,3409,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"11","Adams Lake - misc. south end shore",3410,3410,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"12","Adams River - shore",3393,3393,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"13","Adams River, lower",46238,46238,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"14","Adams River, lower",46239,46239,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"15","Adams River, upper",46248,NA,NA,NA,"t2",NA
"16","Adams River, upper",46249,46249,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"17","Alouette River",47922,NA,NA,NA,"t4",NA
"18","American Creek",47139,NA,NA,NA,"t4",NA
"19","Amos Creek",45056,NA,NA,NA,"t3",NA
"20","Anderson Lake - shore",7727,7727,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t2",NA
"21","Ankwill Creek",45596,45596,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"22","Anstey River",46348,46348,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"23","Anstey River",46349,46349,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"24","Anstey River - shore",3439,3439,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"25","Antler Creek",47449,47449,"L-07-01","BOWRON-EARLY SUMMER TIMING","t2",NA
"26","Archie Creek",45041,NA,NA,NA,"t3",NA
"27","Baezaeko River",7645,NA,NA,NA,"t3",NA
"28","Baptiste Creek",45553,45553,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"29","Barriere River",46600,46600,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"30","Barriere River, upper",3416,3416,"L-10-03","NORTH BARRIERE-EARLY SUMMER TIMING","t2",NA
"31","Bates Creek",45597,45597,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"32","Baxter Beach",3363,3363,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"33","Bear Beach - Shore",3364,3364,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"34","Bessette Creek",7635,7635,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t2",NA
"35","Bessette Creek",431,431,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"36","Betty Frank's - Shore",3365,3365,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"37","Big Silver Creek",46072,46072,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"38","Big Slide - Shore",3342,3342,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"39","Big Slide, 1 km. West - shore",3343,3343,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"40","Bill Miner Cr. - Shore",3344,3344,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"41","Bill Miner Cr. - Shore 3 km west",3345,3345,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"42","Bill Miner Creek",45070,45070,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"43","Birkenhead River",46098,46098,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"44","Bivouac Creek",45574,45574,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"45","Blackwater Creek",45600,45600,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"46","Blanchet Creek",45589,45589,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"47","Blanchet North Creek",3089,3089,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"48","Blue Creek",7689,NA,NA,NA,"t2",NA
"49","Blue Lead Cr. - Shore",3346,3346,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"50","Blue Lead Creek",45073,45073,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"51","Blueberry Creek",7632,7632,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"52","Blurton Creek",7643,7643,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"53","Bouldery Cr. - Shore",3347,3347,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"54","Bouldery Cr. - Shore 2 km east",3348,3348,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"55","Bouldery Creek",45066,45066,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"56","Bowling Point",3366,3366,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"57","Bowron River, lower",7010,NA,NA,NA,"t2",NA
"58","Bowron River, upper",47419,47419,"L-07-01","BOWRON-EARLY SUMMER TIMING","t2",NA
"59","Bridge River",47221,NA,NA,NA,"t3",NA
"60","Bridge River (Late)",7728,NA,NA,NA,"t4",NA
"61","Buckingham Creek",45067,45067,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"62","Burton Creek",45013,NA,NA,NA,"t2",NA
"63","Bush Creek",45011,NA,NA,NA,"t2",NA
"64","Bush Creek",45012,45012,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"65","Bush Creek - shore",3407,3407,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"66","Butterfield Creek",3077,NA,NA,NA,"t1",NA
"67","Cameron Creek",45061,45061,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"68","Canoe Creek",46419,46419,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"69","Cariboo River, lower",46883,NA,NA,NA,"t3",NA
"70","Cariboo River, upper",3443,NA,NA,NA,"t3",NA
"71","Casamir Creek",45573,45573,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"72","Cayenne Creek",46278,NA,NA,NA,"t2",NA
"73","Cayenne Creek",46279,NA,NA,NA,"t4",NA
"74","Cayoosh Creek",47201,NA,NA,NA,"t3",NA
"75","Celista Creek",46318,46318,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"76","Celista Creek",46319,46319,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"77","Chehalis River",46038,NA,NA,NA,"t3",NA
"78","Chilko Channel",45079,45079,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"79","Chilko River",46843,46843,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"80","Chilliwack Lake",45092,45092,"L-03-01","CHILLIWACK-EARLY SUMMER TIMING","t2",NA
"81","Chilliwack River",46981,NA,NA,NA,"t4",NA
"82","Chilliwack River, upper",46986,46986,"L-03-01","CHILLIWACK-EARLY SUMMER TIMING","t2",NA
"83","Churn Creek",47236,NA,NA,NA,"t3",NA
"84","Clearbrook Creek",45053,NA,NA,NA,"t3",NA
"85","Clearwater River",46680,46680,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"86","Cogburn Creek",46065,46065,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"87","Consolidated Creek",45604,45604,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
