"","Conservation.Unit","Tributary.Deme"
"1","Fraser Canyon","Nahatlatch R"
"2","Lower Thompson","Bonaparte R"
"3","Lower Thompson","Deadman R"
"4","Lower Thompson","Tranquille R"
"5","Lower Thompson","Coldwater R"
"6","Lower Thompson","Spius Cr"
"7","Middle Fraser","Bridge R"
"8","Middle Fraser","Gates Cr"
"9","Middle Fraser","Portage Cr"
"10","Middle Fraser","Seton R (Sp Channels)"
"11","Middle Fraser","Chilko R"
"12","Middle Fraser","Hazeltine Cr (Edney)"
"13","Middle Fraser","Horsefly R"
"14","Middle Fraser","Little Horsefly R"
"15","Middle Fraser","McKinley Cr"
"16","Middle Fraser","Mitchell R"
"17","Middle Fraser","Penfold Cr"
"18","North Thompson","Barriere R"
"19","North Thompson","Darlington Cr"
"20","North Thompson","Dunn Cr"
"21","North Thompson","E Barriere R"
"22","North Thompson","Fennell Cr"
"23","North Thompson","Haggard Cr"
"24","North Thompson","Harper Cr"
"25","North Thompson","Lemieux Cr"
"26","North Thompson","Lindquist Cr"
"27","North Thompson","Louis Cr"
"28","North Thompson","Mann Cr"
"29","North Thompson","Paul Cr"
"30","North Thompson","Peterson Cr"
"31","North Thompson","Saskum Cr"
"32","North Thompson","Avola Cr"
"33","North Thompson","Birch Island Channel"
"34","North Thompson","Finn Cr"
"35","North Thompson","Lyon Cr"
"36","North Thompson","N Thompson R (mid)"
"37","North Thompson","Pig Channel"
"38","North Thompson","Raft R"
"39","North Thompson","Reg Christie Cr"
"40","North Thompson","Shannon Cr"
"41","North Thompson","Tumtum Cr"
"42","North Thompson","Wire Cache Cr"
"43","North Thompson","Albreda R"
"44","North Thompson","Blue R"
"45","North Thompson","Cedar Cr"
"46","North Thompson","Cook Cr"
"47","North Thompson","N Thompson R (upr)"
"48","North Thompson","Barriere R (lwr)"
"49","North Thompson","Barriere R (upr)"
"50","North Thompson","Moonbeam Cr"
"51","South Thompson","Adams R (upr)"
"52","South Thompson","Cayenne Cr"
"53","South Thompson","Harbour Cr"
"54","South Thompson","Hiuihill Cr"
"55","South Thompson","Momich R"
"56","South Thompson","Nikwikwaia Cr"
"57","South Thompson","Sinmax Cr"
"58","South Thompson","Bessette Cr"
"59","South Thompson","Blurton Cr"
"60","South Thompson","Creighton Cr"
"61","South Thompson","Danforth Cr (Kingfisher Cr)"
"62","South Thompson","Duteau Cr"
"63","South Thompson","Harris Cr"
"64","South Thompson","Ireland Cr"
"65","South Thompson","Johnson Cr"
"66","South Thompson","Shuswap R (lwr)"
"67","South Thompson","Shuswap R (mid)"
"68","South Thompson","Trinity Cr"
"69","South Thompson","Wap Cr"
"70","South Thompson","Anstey R"
"71","South Thompson","Canoe Cr"
"72","South Thompson","Celista Cr"
"73","South Thompson","Crazy Cr"
"74","South Thompson","Eagle R"
"75","South Thompson","Hunakwa Cr"
"76","South Thompson","McNomee Cr"
"77","South Thompson","Onyx Cr"
"78","South Thompson","Owlhead Cr"
"79","South Thompson","Perry R"
"80","South Thompson","Salmon R"
"81","South Thompson","Scotch Cr"
"82","South Thompson","Senn Cr"
"83","South Thompson","Seymour R"
"84","South Thompson","South Pass Cr"
"85","South Thompson","Tappen Cr"
"86","South Thompson","Wright Cr"
"87","South Thompson","Yard Cr"
