"","Year","cyc","Horse","McKin","Mitchell","Little","Lake"
"1",1950,1,257,0,0,7,0
"2",1951,2,9,0,0,0,0
"3",1952,3,51,0,0,0,0
"4",1953,4,45184,1346,1034,0,0
"5",1954,1,133,0,9,4,0
"6",1955,2,30,0,0,0,0
"7",1956,3,35,1,0,3,0
"8",1957,4,127218,4009,1602,23,0
"9",1958,1,1229,0,33,7,0
"10",1959,2,24,0,0,5,0
"11",1960,3,117,0,0,6,0
"12",1961,4,64200,3839,1907,4,0
"13",1962,1,526,0,2,38,0
"14",1963,2,40,0,0,0,0
"15",1964,3,77,0,0,82,0
"16",1965,4,103661,0,1681,0,0
"17",1966,1,973,0,65,2,0
"18",1967,2,24,0,0,0,0
"19",1968,3,328,129.470681458003,2,3,0
"20",1969,4,68204,5688,2662,11,0
"21",1970,1,373,0,15,0,0
"22",1971,2,16,0,0,0,0
"23",1972,3,34,10,2,0,0
"24",1973,4,94471,6763,11178,2,0
"25",1974,1,2587,0,0,0,0
"26",1975,2,53,52,0,0,0
"27",1976,3,32,173,4,0,0
"28",1977,4,138641,8735,13088,33,0
"29",1978,1,3675,46,628,0,0
"30",1979,2,238,0,0,NA,0
"31",1980,3,82,16,0,0,0
"32",1981,4,287094,6284,36154,1,50
"33",1982,1,15177,2959,1899,0,0
"34",1983,2,1018,20,60,0,0
"35",1984,3,509,30,12,0,0
"36",1985,4,525523,54257,100058,8929,3094
"37",1986,1,75975,2564,16110,0,0
"38",1987,2,8964,37,2237,0,0
"39",1988,3,3413,91,662,15,4
"40",1989,4,743573,63646,119435,9363.05706075877,4832
"41",1990,1,228534,6391,21898,1290.31222712861,139
"42",1991,2,21016,207.343128850484,3845,79.8493639200357,0
"43",1992,3,3046,35.0552113372116,1157.21432345542,13.5000197155182,0
"44",1993,4,1004602,83875,382294,14280,3999
"45",1994,1,274090,14955,63580,101,538
"46",1995,2,97609,267,18991,0,0
"47",1996,3,17816,5,3896,2,0
"48",1997,4,489410,81491,265366,13248,35919
"49",1998,1,333620,28430,158261,2366,4750
"50",1999,2,75163,580,29584,256,517
"51",2000,3,20495,272,16090,70,30
"52",2001,4,871423,123548,536589,5169,135140
"53",2002,1,1078997.87458602,50758.2611452869,438135,7873.04959878119,0
"54",2003,2,91089,1937,51535,339,1507
"55",2004,3,2604,81,3534,235,80
"56",2005,4,324209,81513,363901.400218831,19843,28128
"57",2006,1,66964,1619,12086,2243,4702
"58",2007,2,26239,564,4496,315,1390
"59",2008,3,1856,27,545,0,31
"60",2009,4,33891,7491,26334,3694,8505
"61",2010,1,75726,760,42509,1823,6830
"62",2011,2,11863,27,4378,107,315
"63",2012,3,86,0,9,0,0
"64",2013,4,36249,8887,36466,1274,8838
"65",2014,1,229838,5962,155699,1681,26764
"66",2015,2,17063,145,6212,257,1411
"67",2016,3,119,0,63,5,15
"68",2017,4,37072,3619,12085,858,4825
"69",2018,1,227256,6087,72917,1151,16952
"70",2019,2,9445,436,2953,100,1130
