year,Esc,Run,a1.1,a1.2,a2.2,a2.3,cv_N,cv_E,cv_H,efn
1961,3172.897818,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1962,5430.506455,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1963,26237.73109,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1964,23251.55603,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1965,17879.29135,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1966,73659.0366,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1967,26964.0961,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1968,45522.88,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1969,10710.592,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1970,29341.888,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1971,36090.9141,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1972,21564,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1973,12133,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1974,7110.434712,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1975,12739.23404,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1976,16428.544,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1977,13176.448,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1978,4750.144,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1979,15009.28,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1980,15807.04,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1981,16938.304,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1982,11703.04,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1983,16761.472,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1984,53720.67986,NA,NA,NA,NA,NA,NA,0.2,0.2,100
1985,31945.74646,120578.5454,8319.9196326,107435.4839514,4823.141816,0,NA,0.2,0.2,100
1986,15472.15812,49192.354,2560.562968410408,41756.873072500544,4874.917959089045,0,NA,0.2,0.2,100
