CU_ID,CU_Acro,New_CU_ID,New_CU_Acro,New_CU_Name,Description
CK_03,LFR-fall,CK_03,LFR-fall,Lower Fraser River_FA_0.3,"Internal Working Repo, Use actual name and ID"
CK_04,LFR-spring,CK_04,LFR-spring,Lower Fraser River_SP_1.3,"Internal Working Repo, Use actual name and ID"
CK_05,LFR-UPITT,CK_05,LFR-UPITT,Lower Fraser River-Upper Pitt_SU_1.3,"Internal Working Repo, Use actual name and ID"
CK_06,LFR-summer,CK_06,LFR-summer,Lower Fraser River_SU_1.3,"Internal Working Repo, Use actual name and ID"
CK_07,Maria,CK_07,Maria,Maria Slough_SU_0.3,"Internal Working Repo, Use actual name and ID"
CK_08,FRCanyon,CK_08,FRCanyon,Middle Fraser-Fraser Canyon_SP_1.3,"Internal Working Repo, Use actual name and ID"
CK_09,Portage,CK_09,Portage,Middle Fraser River-Portage_FA_1.3,"Internal Working Repo, Use actual name and ID"
CK_10,MFR-spring,CK_10,MFR-spring,Middle Fraser River_SP_1.3,"Internal Working Repo, Use actual name and ID"
CK_11,MFR-summer,CK_11,MFR-summer,Middle Fraser River_SU_1.3,"Internal Working Repo, Use actual name and ID"
CK_12,UFR-spring,CK_12,UFR-spring,Upper Fraser River_SP_1.3,"Internal Working Repo, Use actual name and ID"
CK_13,STh-0.3,CK_13,STh-0.3,South Thompson_SU_0.3,"Internal Working Repo, Use actual name and ID"
CK_14,STh-1.3,CK_14,STh-1.3,South Thompson_SU_1.3,"Internal Working Repo, Use actual name and ID"
CK_15,STh-SHUR,CK_15,STh-SHUR,Shuswap River_SU_0.3,"Internal Working Repo, Use actual name and ID"
CK_16,STh-BESS,CK_16,STh-BESS,South Thompson-Bessette Creek_SU_1.2,"Internal Working Repo, Use actual name and ID"
CK_17,LTh,CK_17,LTh,Lower Thompson_SP_1.2,"Internal Working Repo, Use actual name and ID"
CK_18,NTh-spr,CK_18,NTh-spr,North Thompson_SP_1.3,"Internal Working Repo, Use actual name and ID"
CK_19,NTh-sum,CK_19,NTh-sum,North Thompson_SU_1.3,"Internal Working Repo, Use actual name and ID"
CK_82,UADAMS,CK_82,UADAMS,Upper Adams River_SU_x.x,"Internal Working Repo, Use actual name and ID"
