"","DataSet","Year","Pop_Name","CU_Name","Escapement_Wild","Escapement_Total","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"1","Sk_Fraser",2019,"Chilko River","Chilko - Summer",168343,168343,NA,NA,46843,"L-06-03",NA
"2","Sk_Fraser",2019,"Adams River, lower","Shuswap - Early Summer",0,0,NA,NA,46238,"L-09-02",NA
"3","Sk_Fraser",2019,"Adams River, upper","Shuswap - Early Summer",2,2,NA,NA,46248,NA,NA
"4","Sk_Fraser",2019,"Anstey River","Shuswap - Early Summer",239,239,NA,NA,46348,"L-09-02",NA
"5","Sk_Fraser",2019,"Burton Creek","Shuswap - Early Summer",0,0,NA,NA,45013,NA,NA
"6","Sk_Fraser",2019,"Cayenne Creek","Shuswap - Early Summer",14,14,NA,NA,46278,NA,NA
"7","Sk_Fraser",2019,"Crazy Creek","Shuswap - Early Summer",4,4,NA,NA,810,"L-09-02",NA
"8","Sk_Fraser",2019,"Eagle River","Shuswap - Early Summer",1904,1904,NA,NA,46358,"L-09-02",NA
"9","Sk_Fraser",2019,"Four Mile Creek","Shuswap - Early Summer",0,0,NA,NA,7636,"L-09-02",NA
"10","Sk_Fraser",2019,"Hiuihill Creek","Shuswap - Early Summer",0,0,NA,NA,44983,"L-09-02",NA
"11","Sk_Fraser",2019,"McNomee Creek","Shuswap - Early Summer",122,122,NA,NA,45014,"L-09-02",NA
"12","Sk_Fraser",2019,"Momich River, lower","Shuswap - Early Summer",2,2,NA,NA,46268,NA,NA
"13","Sk_Fraser",2019,"Nikwikwaia Creek","Shuswap - Early Summer",0,0,NA,NA,45008,"L-09-02",NA
"14","Sk_Fraser",2019,"Onyx Creek","Shuswap - Early Summer",0,0,NA,NA,46298,"L-09-02",NA
"15","Sk_Fraser",2019,"Perry River","Shuswap - Early Summer",29,29,NA,NA,45026,"L-09-02",NA
"16","Sk_Fraser",2019,"Ross Creek","Shuswap - Early Summer",0,0,NA,NA,46308,NA,NA
"17","Sk_Fraser",2019,"Scotch Creek","Shuswap - Early Summer",1719,1719,NA,NA,46288,"L-09-02",NA
"18","Sk_Fraser",2019,"Seymour River","Shuswap - Early Summer",1058,1058,NA,NA,46328,"L-09-02",NA
"19","Sk_Fraser",2019,"Yard Creek","Shuswap - Early Summer",70,70,NA,NA,45024,"L-09-02",NA
"20","Sk_Fraser",2019,"15 Mile Creek","Takla-Trembleur - Early Stuart",2,2,NA,NA,45590,"L-06-14",NA
"21","Sk_Fraser",2019,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45587,"L-06-14",NA
"22","Sk_Fraser",2019,"Ankwill Creek","Takla-Trembleur - Early Stuart",2,2,NA,NA,45596,"L-06-14",NA
"23","Sk_Fraser",2019,"Blackwater Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45600,"L-06-14",NA
"24","Sk_Fraser",2019,"Blanchet Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45589,"L-06-14",NA
"25","Sk_Fraser",2019,"Blanchet North Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,3089,"L-06-14",NA
"26","Sk_Fraser",2019,"Crow Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45583,"L-06-14",NA
"27","Sk_Fraser",2019,"Driftwood River","Takla-Trembleur - Early Stuart",0,0,NA,NA,45598,"L-06-14",NA
"28","Sk_Fraser",2019,"Dust Creek","Takla-Trembleur - Early Stuart",12,12,NA,NA,45581,"L-06-14",NA
"29","Sk_Fraser",2019,"Fleming Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45556,"L-06-14",NA
"30","Sk_Fraser",2019,"Forfar Creek","Takla-Trembleur - Early Stuart",29,29,NA,NA,45571,"L-06-14",NA
"31","Sk_Fraser",2019,"Frypan Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45593,"L-06-14",NA
"32","Sk_Fraser",2019,"Gluske Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45572,"L-06-14",NA
"33","Sk_Fraser",2019,"Hooker Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45584,"L-06-14",NA
"34","Sk_Fraser",2019,"Hudson Bay Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45592,"L-06-14",NA
"35","Sk_Fraser",2019,"Kastberg Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45605,"L-06-14",NA
"36","Sk_Fraser",2019,"Kazchek Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45559,"L-06-14",NA
"37","Sk_Fraser",2019,"Kotsine River","Takla-Trembleur - Early Stuart",0,0,NA,NA,45603,"L-06-14",NA
"38","Sk_Fraser",2019,"Lovell Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45594,"L-06-14",NA
"39","Sk_Fraser",2019,"Maclaing Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45591,"L-06-14",NA
"40","Sk_Fraser",2019,"Middle River (Rossette Bar)","Takla-Trembleur - Early Stuart",0,0,NA,NA,45551,"L-06-14",NA
"41","Sk_Fraser",2019,"Narrows Creek","Takla-Trembleur - Early Stuart",10,10,NA,NA,45586,"L-06-14",NA
"42","Sk_Fraser",2019,"O'Ne-ell Creek","Takla-Trembleur - Early Stuart",14,14,NA,NA,45570,"L-06-14",NA
